persona,text,likert_scale,Itemnum,answer
Benito Mussolini,Is helpful and unselfish with others,1 to 5,itemcount,5
Benito Mussolini,Can be somewhat careless,1 to 5,itemcount,3
Benito Mussolini,"Is relaxed, handles stress well",1 to 5,itemcount,3
Benito Mussolini,Starts quarrels with others,1 to 5,itemcount,2
Benito Mussolini,Is a reliable worker,1 to 5,itemcount,4
Benito Mussolini,"Is ingenious, a deep thinker",1 to 5,itemcount,4
Benito Mussolini,Generates a lot of enthusiasm,1 to 5,itemcount,3
Benito Mussolini,Has a forgiving nature,1 to 5,itemcount,3
Benito Mussolini,Worries a lot,1 to 5,itemcount,2
Benito Mussolini,Has an active imagination,1 to 5,itemcount,5
Benito Mussolini,Is generally trusting,1 to 5,itemcount,2
Benito Mussolini,Tends to be lazy,1 to 5,itemcount,3
Benito Mussolini,"Is emotionally stable, not easily upset",1 to 5,itemcount,4
Benito Mussolini,Is inventive,1 to 5,itemcount,5
Benito Mussolini,Can be cold and aloof,1 to 5,itemcount,1
Benito Mussolini,"Values artistic, aesthetic experiences",1 to 5,itemcount,2
Benito Mussolini,Does things efficiently,1 to 5,itemcount,3
Benito Mussolini,"Likes to reflect, play with ideas",1 to 5,itemcount,5
Benito Mussolini,Has few artistic interests,1 to 5,itemcount,4
Benito Mussolini,Likes to cooperate with others,1 to 5,itemcount,3
Benito Mussolini,Is easily distracted,1 to 5,itemcount,3
Benito Mussolini,"Is sophisticated in art, music, or Literature",1 to 5,itemcount,4
Idi Amin,Is talkative,1 to 5,itemcount,3
Idi Amin,Tends to find fault with others,1 to 5,itemcount,2
Idi Amin,"Is original, comes up with new ideas",1 to 5,itemcount,5
Idi Amin,Is reserved,1 to 5,itemcount,5
Idi Amin,Can be somewhat careless,1 to 5,itemcount,4
Idi Amin,"Is relaxed, handles stress well",1 to 5,itemcount,5
Idi Amin,Is curious about many different things,1 to 5,itemcount,2
Idi Amin,Is full of energy,1 to 5,itemcount,5
Idi Amin,Starts quarrels with others,1 to 5,itemcount,3
Idi Amin,"Is ingenious, a deep thinker",1 to 5,itemcount,3
Idi Amin,Generates a lot of enthusiasm,1 to 5,itemcount,3
Idi Amin,Has a forgiving nature,1 to 5,itemcount,2
Idi Amin,Tends to be disorganized,1 to 5,itemcount,4
Idi Amin,Worries a lot,1 to 5,itemcount,4
Idi Amin,Tends to be quiet,1 to 5,itemcount,4
Idi Amin,Is generally trusting,1 to 5,itemcount,2
Idi Amin,"Is emotionally stable, not easily upset",1 to 5,itemcount,5
Idi Amin,Is inventive,1 to 5,itemcount,4
Idi Amin,Has an assertive personality,1 to 5,itemcount,3
Idi Amin,Can be cold and aloof,1 to 5,itemcount,3
Idi Amin,Can be moody,1 to 5,itemcount,1
Idi Amin,"Values artistic, aesthetic experiences",1 to 5,itemcount,5
Idi Amin,"Is sometimes shy, inhibited",1 to 5,itemcount,5
Idi Amin,Is considerate and kind to almost everyone,1 to 5,itemcount,1
Idi Amin,Does things efficiently,1 to 5,itemcount,4
Idi Amin,Remains calm in tense situations,1 to 5,itemcount,4
Idi Amin,Prefers work that is routine,1 to 5,itemcount,3
Idi Amin,"Is outgoing, sociable",1 to 5,itemcount,1
Idi Amin,Likes to cooperate with others,1 to 5,itemcount,4
Idi Amin,Is easily distracted,1 to 5,itemcount,5
Idi Amin,"Is sophisticated in art, music, or Literature",1 to 5,itemcount,4
"Saloth ""Pol Pot"" Sar",Tends to find fault with others,1 to 5,itemcount,5
"Saloth ""Pol Pot"" Sar",Does a thorough job,1 to 5,itemcount,5
"Saloth ""Pol Pot"" Sar","Is original, comes up with new ideas",1 to 5,itemcount,3
"Saloth ""Pol Pot"" Sar",Is reserved,1 to 5,itemcount,5
"Saloth ""Pol Pot"" Sar",Is helpful and unselfish with others,1 to 5,itemcount,4
"Saloth ""Pol Pot"" Sar",Can be somewhat careless,1 to 5,itemcount,5
"Saloth ""Pol Pot"" Sar",Is curious about many different things,1 to 5,itemcount,4
"Saloth ""Pol Pot"" Sar",Is full of energy,1 to 5,itemcount,2
"Saloth ""Pol Pot"" Sar",Starts quarrels with others,1 to 5,itemcount,3
"Saloth ""Pol Pot"" Sar",Is a reliable worker,1 to 5,itemcount,4
"Saloth ""Pol Pot"" Sar","Is ingenious, a deep thinker",1 to 5,itemcount,3
"Saloth ""Pol Pot"" Sar",Generates a lot of enthusiasm,1 to 5,itemcount,3
"Saloth ""Pol Pot"" Sar",Worries a lot,1 to 5,itemcount,1
"Saloth ""Pol Pot"" Sar",Has an active imagination,1 to 5,itemcount,5
"Saloth ""Pol Pot"" Sar",Tends to be quiet,1 to 5,itemcount,3
"Saloth ""Pol Pot"" Sar",Is generally trusting,1 to 5,itemcount,1
"Saloth ""Pol Pot"" Sar",Has an assertive personality,1 to 5,itemcount,2
"Saloth ""Pol Pot"" Sar",Can be cold and aloof,1 to 5,itemcount,4
"Saloth ""Pol Pot"" Sar",Perseveres until the task is finished,1 to 5,itemcount,5
"Saloth ""Pol Pot"" Sar",Can be moody,1 to 5,itemcount,1
"Saloth ""Pol Pot"" Sar","Values artistic, aesthetic experiences",1 to 5,itemcount,5
"Saloth ""Pol Pot"" Sar","Is sometimes shy, inhibited",1 to 5,itemcount,3
"Saloth ""Pol Pot"" Sar",Remains calm in tense situations,1 to 5,itemcount,5
"Saloth ""Pol Pot"" Sar","Is outgoing, sociable",1 to 5,itemcount,4
"Saloth ""Pol Pot"" Sar",Is sometimes rude to others,1 to 5,itemcount,5
"Saloth ""Pol Pot"" Sar",Makes plans and follows through with them,1 to 5,itemcount,5
"Saloth ""Pol Pot"" Sar",Gets nervous easily,1 to 5,itemcount,5
"Saloth ""Pol Pot"" Sar",Has few artistic interests,1 to 5,itemcount,3
"Saloth ""Pol Pot"" Sar",Is easily distracted,1 to 5,itemcount,2
"Saloth ""Pol Pot"" Sar","Is sophisticated in art, music, or Literature",1 to 5,itemcount,3
Kim Il Sung,"Is depressed, blue",1 to 5,itemcount,2
Kim Il Sung,Is reserved,1 to 5,itemcount,3
Kim Il Sung,Can be somewhat careless,1 to 5,itemcount,5
Kim Il Sung,Is curious about many different things,1 to 5,itemcount,5
Kim Il Sung,Starts quarrels with others,1 to 5,itemcount,1
Kim Il Sung,Can be tense,1 to 5,itemcount,1
Kim Il Sung,"Is ingenious, a deep thinker",1 to 5,itemcount,1
Kim Il Sung,Generates a lot of enthusiasm,1 to 5,itemcount,3
Kim Il Sung,Has a forgiving nature,1 to 5,itemcount,4
Kim Il Sung,Worries a lot,1 to 5,itemcount,1
Kim Il Sung,Has an active imagination,1 to 5,itemcount,3
Kim Il Sung,Tends to be lazy,1 to 5,itemcount,4
Kim Il Sung,"Is emotionally stable, not easily upset",1 to 5,itemcount,1
Kim Il Sung,Can be cold and aloof,1 to 5,itemcount,3
Kim Il Sung,Perseveres until the task is finished,1 to 5,itemcount,4
Kim Il Sung,Can be moody,1 to 5,itemcount,1
Kim Il Sung,"Is sometimes shy, inhibited",1 to 5,itemcount,5
Kim Il Sung,Does things efficiently,1 to 5,itemcount,4
Kim Il Sung,Remains calm in tense situations,1 to 5,itemcount,5
Kim Il Sung,"Is outgoing, sociable",1 to 5,itemcount,5
Kim Il Sung,Gets nervous easily,1 to 5,itemcount,5
Kim Il Sung,"Likes to reflect, play with ideas",1 to 5,itemcount,3
Kim Il Sung,Has few artistic interests,1 to 5,itemcount,1
Kim Il Sung,Is easily distracted,1 to 5,itemcount,4
Muammar Gaddafi,Is talkative,1 to 5,itemcount,3
Muammar Gaddafi,Tends to find fault with others,1 to 5,itemcount,2
Muammar Gaddafi,Does a thorough job,1 to 5,itemcount,5
Muammar Gaddafi,"Is depressed, blue",1 to 5,itemcount,5
Muammar Gaddafi,Is reserved,1 to 5,itemcount,1
Muammar Gaddafi,Is helpful and unselfish with others,1 to 5,itemcount,3
Muammar Gaddafi,Can be somewhat careless,1 to 5,itemcount,1
Muammar Gaddafi,"Is relaxed, handles stress well",1 to 5,itemcount,2
Muammar Gaddafi,Is curious about many different things,1 to 5,itemcount,3
Muammar Gaddafi,Is full of energy,1 to 5,itemcount,5
Muammar Gaddafi,Starts quarrels with others,1 to 5,itemcount,1
Muammar Gaddafi,"Is ingenious, a deep thinker",1 to 5,itemcount,1
Muammar Gaddafi,Has a forgiving nature,1 to 5,itemcount,2
Muammar Gaddafi,Tends to be disorganized,1 to 5,itemcount,1
Muammar Gaddafi,Worries a lot,1 to 5,itemcount,1
Muammar Gaddafi,Has an active imagination,1 to 5,itemcount,5
Muammar Gaddafi,Tends to be quiet,1 to 5,itemcount,1
Muammar Gaddafi,Tends to be lazy,1 to 5,itemcount,3
Muammar Gaddafi,"Is emotionally stable, not easily upset",1 to 5,itemcount,1
Muammar Gaddafi,Is inventive,1 to 5,itemcount,4
Muammar Gaddafi,Can be cold and aloof,1 to 5,itemcount,3
Muammar Gaddafi,"Values artistic, aesthetic experiences",1 to 5,itemcount,2
Muammar Gaddafi,"Is sometimes shy, inhibited",1 to 5,itemcount,4
Muammar Gaddafi,Is considerate and kind to almost everyone,1 to 5,itemcount,4
Muammar Gaddafi,Does things efficiently,1 to 5,itemcount,4
Muammar Gaddafi,Remains calm in tense situations,1 to 5,itemcount,1
Muammar Gaddafi,Prefers work that is routine,1 to 5,itemcount,4
Muammar Gaddafi,Gets nervous easily,1 to 5,itemcount,3
Muammar Gaddafi,"Likes to reflect, play with ideas",1 to 5,itemcount,4
Muammar Gaddafi,Is easily distracted,1 to 5,itemcount,2
Muammar Gaddafi,"Is sophisticated in art, music, or Literature",1 to 5,itemcount,3
Fidel Castro,Tends to find fault with others,1 to 5,itemcount,3
Fidel Castro,"Is original, comes up with new ideas",1 to 5,itemcount,2
Fidel Castro,Is reserved,1 to 5,itemcount,2
Fidel Castro,Is helpful and unselfish with others,1 to 5,itemcount,5
Fidel Castro,Starts quarrels with others,1 to 5,itemcount,3
Fidel Castro,Is a reliable worker,1 to 5,itemcount,5
Fidel Castro,Can be tense,1 to 5,itemcount,4
Fidel Castro,"Is ingenious, a deep thinker",1 to 5,itemcount,3
Fidel Castro,Tends to be disorganized,1 to 5,itemcount,4
Fidel Castro,Worries a lot,1 to 5,itemcount,3
Fidel Castro,Has an active imagination,1 to 5,itemcount,1
Fidel Castro,Tends to be quiet,1 to 5,itemcount,1
Fidel Castro,Is generally trusting,1 to 5,itemcount,5
Fidel Castro,Tends to be lazy,1 to 5,itemcount,5
Fidel Castro,"Is emotionally stable, not easily upset",1 to 5,itemcount,5
Fidel Castro,Is inventive,1 to 5,itemcount,2
Fidel Castro,Can be moody,1 to 5,itemcount,3
Fidel Castro,"Values artistic, aesthetic experiences",1 to 5,itemcount,3
Fidel Castro,"Is sometimes shy, inhibited",1 to 5,itemcount,3
Fidel Castro,Is considerate and kind to almost everyone,1 to 5,itemcount,5
Fidel Castro,Does things efficiently,1 to 5,itemcount,3
Fidel Castro,Makes plans and follows through with them,1 to 5,itemcount,5
Fidel Castro,Gets nervous easily,1 to 5,itemcount,4
Fidel Castro,"Likes to reflect, play with ideas",1 to 5,itemcount,5
Fidel Castro,Likes to cooperate with others,1 to 5,itemcount,3
Fidel Castro,Is easily distracted,1 to 5,itemcount,3
Jeffrey Dahmer,Is talkative,1 to 5,itemcount,4
Jeffrey Dahmer,Tends to find fault with others,1 to 5,itemcount,1
Jeffrey Dahmer,Does a thorough job,1 to 5,itemcount,5
Jeffrey Dahmer,"Is depressed, blue",1 to 5,itemcount,4
Jeffrey Dahmer,"Is original, comes up with new ideas",1 to 5,itemcount,5
Jeffrey Dahmer,Is reserved,1 to 5,itemcount,2
Jeffrey Dahmer,Is helpful and unselfish with others,1 to 5,itemcount,4
Jeffrey Dahmer,Can be somewhat careless,1 to 5,itemcount,5
Jeffrey Dahmer,"Is relaxed, handles stress well",1 to 5,itemcount,4
Jeffrey Dahmer,Is curious about many different things,1 to 5,itemcount,4
Jeffrey Dahmer,Is full of energy,1 to 5,itemcount,1
Jeffrey Dahmer,Starts quarrels with others,1 to 5,itemcount,4
Jeffrey Dahmer,Is a reliable worker,1 to 5,itemcount,3
Jeffrey Dahmer,Generates a lot of enthusiasm,1 to 5,itemcount,5
Jeffrey Dahmer,Has a forgiving nature,1 to 5,itemcount,5
Jeffrey Dahmer,Worries a lot,1 to 5,itemcount,1
Jeffrey Dahmer,Has an active imagination,1 to 5,itemcount,4
Jeffrey Dahmer,Tends to be quiet,1 to 5,itemcount,5
Jeffrey Dahmer,Is generally trusting,1 to 5,itemcount,5
Jeffrey Dahmer,Tends to be lazy,1 to 5,itemcount,5
Jeffrey Dahmer,"Is emotionally stable, not easily upset",1 to 5,itemcount,5
Jeffrey Dahmer,Is inventive,1 to 5,itemcount,4
Jeffrey Dahmer,Has an assertive personality,1 to 5,itemcount,1
Jeffrey Dahmer,Can be moody,1 to 5,itemcount,5
Jeffrey Dahmer,"Values artistic, aesthetic experiences",1 to 5,itemcount,5
Jeffrey Dahmer,Is considerate and kind to almost everyone,1 to 5,itemcount,4
Jeffrey Dahmer,Does things efficiently,1 to 5,itemcount,1
Jeffrey Dahmer,Remains calm in tense situations,1 to 5,itemcount,4
Jeffrey Dahmer,"Is outgoing, sociable",1 to 5,itemcount,5
Jeffrey Dahmer,Makes plans and follows through with them,1 to 5,itemcount,3
Jeffrey Dahmer,Gets nervous easily,1 to 5,itemcount,5
Jeffrey Dahmer,"Likes to reflect, play with ideas",1 to 5,itemcount,1
Jeffrey Dahmer,Has few artistic interests,1 to 5,itemcount,5
Jeffrey Dahmer,Likes to cooperate with others,1 to 5,itemcount,3
Jeffrey Dahmer,Is easily distracted,1 to 5,itemcount,5
Jeffrey Dahmer,"Is sophisticated in art, music, or Literature",1 to 5,itemcount,1
Pablo Escobar,Is talkative,1 to 5,itemcount,5
Pablo Escobar,Tends to find fault with others,1 to 5,itemcount,3
Pablo Escobar,Does a thorough job,1 to 5,itemcount,5
Pablo Escobar,"Is depressed, blue",1 to 5,itemcount,4
Pablo Escobar,"Is original, comes up with new ideas",1 to 5,itemcount,5
Pablo Escobar,Is reserved,1 to 5,itemcount,4
Pablo Escobar,Is helpful and unselfish with others,1 to 5,itemcount,5
Pablo Escobar,"Is relaxed, handles stress well",1 to 5,itemcount,4
Pablo Escobar,Is curious about many different things,1 to 5,itemcount,3
Pablo Escobar,Starts quarrels with others,1 to 5,itemcount,4
Pablo Escobar,Is a reliable worker,1 to 5,itemcount,5
Pablo Escobar,Can be tense,1 to 5,itemcount,4
Pablo Escobar,"Is ingenious, a deep thinker",1 to 5,itemcount,5
Pablo Escobar,Generates a lot of enthusiasm,1 to 5,itemcount,1
Pablo Escobar,Has a forgiving nature,1 to 5,itemcount,4
Pablo Escobar,Tends to be disorganized,1 to 5,itemcount,5
Pablo Escobar,Worries a lot,1 to 5,itemcount,5
Pablo Escobar,Tends to be quiet,1 to 5,itemcount,5
Pablo Escobar,"Is emotionally stable, not easily upset",1 to 5,itemcount,3
Pablo Escobar,Is inventive,1 to 5,itemcount,5
Pablo Escobar,Has an assertive personality,1 to 5,itemcount,4
Pablo Escobar,Can be cold and aloof,1 to 5,itemcount,5
Pablo Escobar,Perseveres until the task is finished,1 to 5,itemcount,5
Pablo Escobar,Can be moody,1 to 5,itemcount,5
Pablo Escobar,"Values artistic, aesthetic experiences",1 to 5,itemcount,5
Pablo Escobar,"Is sometimes shy, inhibited",1 to 5,itemcount,5
Pablo Escobar,Is considerate and kind to almost everyone,1 to 5,itemcount,3
Pablo Escobar,Does things efficiently,1 to 5,itemcount,4
Pablo Escobar,Remains calm in tense situations,1 to 5,itemcount,5
Pablo Escobar,"Is outgoing, sociable",1 to 5,itemcount,3
Pablo Escobar,Makes plans and follows through with them,1 to 5,itemcount,3
Pablo Escobar,"Likes to reflect, play with ideas",1 to 5,itemcount,2
Pablo Escobar,Has few artistic interests,1 to 5,itemcount,5
Pablo Escobar,Is easily distracted,1 to 5,itemcount,5
Pablo Escobar,"Is sophisticated in art, music, or Literature",1 to 5,itemcount,1
Ted Bundy,Is talkative,1 to 5,itemcount,2
Ted Bundy,Tends to find fault with others,1 to 5,itemcount,4
Ted Bundy,"Is depressed, blue",1 to 5,itemcount,5
Ted Bundy,"Is original, comes up with new ideas",1 to 5,itemcount,5
Ted Bundy,Is helpful and unselfish with others,1 to 5,itemcount,2
Ted Bundy,Can be somewhat careless,1 to 5,itemcount,3
Ted Bundy,"Is relaxed, handles stress well",1 to 5,itemcount,5
Ted Bundy,Is full of energy,1 to 5,itemcount,5
Ted Bundy,Is a reliable worker,1 to 5,itemcount,5
Ted Bundy,"Is ingenious, a deep thinker",1 to 5,itemcount,5
Ted Bundy,Generates a lot of enthusiasm,1 to 5,itemcount,4
Ted Bundy,Tends to be disorganized,1 to 5,itemcount,5
Ted Bundy,Worries a lot,1 to 5,itemcount,5
Ted Bundy,Has an active imagination,1 to 5,itemcount,4
Ted Bundy,Is generally trusting,1 to 5,itemcount,3
Ted Bundy,Tends to be lazy,1 to 5,itemcount,5
Ted Bundy,"Is emotionally stable, not easily upset",1 to 5,itemcount,1
Ted Bundy,Is inventive,1 to 5,itemcount,3
Ted Bundy,Has an assertive personality,1 to 5,itemcount,4
Ted Bundy,Can be cold and aloof,1 to 5,itemcount,4
Ted Bundy,Can be moody,1 to 5,itemcount,3
Ted Bundy,"Is sometimes shy, inhibited",1 to 5,itemcount,1
Ted Bundy,Is considerate and kind to almost everyone,1 to 5,itemcount,5
Ted Bundy,Does things efficiently,1 to 5,itemcount,4
Ted Bundy,Is sometimes rude to others,1 to 5,itemcount,5
Ted Bundy,Gets nervous easily,1 to 5,itemcount,5
Ted Bundy,Has few artistic interests,1 to 5,itemcount,5
Ted Bundy,"Is sophisticated in art, music, or Literature",1 to 5,itemcount,3
Charles Manson,Does a thorough job,1 to 5,itemcount,3
Charles Manson,Is reserved,1 to 5,itemcount,3
Charles Manson,"Is relaxed, handles stress well",1 to 5,itemcount,5
Charles Manson,Is curious about many different things,1 to 5,itemcount,5
Charles Manson,Is full of energy,1 to 5,itemcount,1
Charles Manson,Starts quarrels with others,1 to 5,itemcount,5
Charles Manson,Is a reliable worker,1 to 5,itemcount,1
Charles Manson,Can be tense,1 to 5,itemcount,1
Charles Manson,Generates a lot of enthusiasm,1 to 5,itemcount,4
Charles Manson,Has a forgiving nature,1 to 5,itemcount,3
Charles Manson,Worries a lot,1 to 5,itemcount,3
Charles Manson,Has an active imagination,1 to 5,itemcount,4
Charles Manson,Tends to be quiet,1 to 5,itemcount,4
Charles Manson,Is generally trusting,1 to 5,itemcount,3
Charles Manson,Tends to be lazy,1 to 5,itemcount,3
Charles Manson,Is inventive,1 to 5,itemcount,1
Charles Manson,Has an assertive personality,1 to 5,itemcount,5
Charles Manson,Can be cold and aloof,1 to 5,itemcount,4
Charles Manson,Perseveres until the task is finished,1 to 5,itemcount,5
Charles Manson,"Values artistic, aesthetic experiences",1 to 5,itemcount,4
Charles Manson,Does things efficiently,1 to 5,itemcount,2
Charles Manson,Remains calm in tense situations,1 to 5,itemcount,5
Charles Manson,Prefers work that is routine,1 to 5,itemcount,5
Charles Manson,"Is outgoing, sociable",1 to 5,itemcount,5
Charles Manson,Is sometimes rude to others,1 to 5,itemcount,3
Charles Manson,Makes plans and follows through with them,1 to 5,itemcount,5
Charles Manson,Gets nervous easily,1 to 5,itemcount,2
Charles Manson,"Likes to reflect, play with ideas",1 to 5,itemcount,5
Charles Manson,Likes to cooperate with others,1 to 5,itemcount,5
Charles Manson,Is easily distracted,1 to 5,itemcount,2
Charles Manson,"Is sophisticated in art, music, or Literature",1 to 5,itemcount,5
John Wayne Gacy,Is talkative,1 to 5,itemcount,4
John Wayne Gacy,Tends to find fault with others,1 to 5,itemcount,1
John Wayne Gacy,Does a thorough job,1 to 5,itemcount,5
John Wayne Gacy,"Is depressed, blue",1 to 5,itemcount,1
John Wayne Gacy,"Is original, comes up with new ideas",1 to 5,itemcount,4
John Wayne Gacy,Can be somewhat careless,1 to 5,itemcount,5
John Wayne Gacy,Is curious about many different things,1 to 5,itemcount,5
John Wayne Gacy,Starts quarrels with others,1 to 5,itemcount,5
John Wayne Gacy,Is a reliable worker,1 to 5,itemcount,4
John Wayne Gacy,"Is ingenious, a deep thinker",1 to 5,itemcount,3
John Wayne Gacy,Generates a lot of enthusiasm,1 to 5,itemcount,5
John Wayne Gacy,Tends to be disorganized,1 to 5,itemcount,2
John Wayne Gacy,Has an active imagination,1 to 5,itemcount,3
John Wayne Gacy,Tends to be quiet,1 to 5,itemcount,5
