persona,text,Itemnum,answer
Mikhail Gorbachev,NPP,"Is emotionally stable, not easily upset",10,4
Mikhail Gorbachev,NPP,Is inventive,11,1
Mikhail Gorbachev,NPP,Has an assertive personality,12,3
Mikhail Gorbachev,NPP,Is considerate and kind to almost everyone,13,5
Mikhail Gorbachev,NPP,Prefers work that is routine,14,5
Mikhail Gorbachev,NPP,Is sometimes rude to others,15,2
Mikhail Gorbachev,NPP,Likes to cooperate with others,16,4
Mikhail Gorbachev,NPP,Is easily distracted,17,1
Mother Teresa,NPP,Tends to find fault with others,1,1
Mother Teresa,NPP,Does a thorough job,2,1
Mother Teresa,NPP,"Is original, comes up with new ideas",3,5
Mother Teresa,NPP,Can be somewhat careless,4,2
Mother Teresa,NPP,Is curious about many different things,5,3
Mother Teresa,NPP,Can be tense,6,1
Mother Teresa,NPP,Generates a lot of enthusiasm,7,2
Mother Teresa,NPP,Has an assertive personality,8,5
Mother Teresa,NPP,Can be cold and aloof,9,1
Mother Teresa,NPP,Is sometimes rude to others,10,1
Mother Teresa,NPP,Makes plans and follows through with them,11,5
Mother Teresa,NPP,"Likes to reflect, play with ideas",12,1
Mother Teresa,NPP,Likes to cooperate with others,13,4
Mother Teresa,NPP,"Is sophisticated in art, music, or Literature",14,5
Theodore Roosevelt,NPP,Tends to find fault with others,1,4
Theodore Roosevelt,NPP,"Is depressed, blue",2,4
Theodore Roosevelt,NPP,Can be somewhat careless,3,1
Theodore Roosevelt,NPP,"Is relaxed, handles stress well",4,4
Theodore Roosevelt,NPP,Is curious about many different things,5,5
Theodore Roosevelt,NPP,Starts quarrels with others,6,1
Theodore Roosevelt,NPP,Can be tense,7,4
Theodore Roosevelt,NPP,Generates a lot of enthusiasm,8,2
Theodore Roosevelt,NPP,Has an active imagination,9,1
Theodore Roosevelt,NPP,Is generally trusting,10,1
Theodore Roosevelt,NPP,Tends to be lazy,11,1
Theodore Roosevelt,NPP,Is inventive,12,4
Theodore Roosevelt,NPP,Can be cold and aloof,13,5
Theodore Roosevelt,NPP,"Is outgoing, sociable",14,1
Theodore Roosevelt,NPP,Makes plans and follows through with them,15,4
Theodore Roosevelt,NPP,Gets nervous easily,16,1
Theodore Roosevelt,NPP,Is easily distracted,17,2
Theodore Roosevelt,NPP,"Is sophisticated in art, music, or Literature",18,2
Jimmy Carter,NPP,Is talkative,1,3
Jimmy Carter,NPP,"Is depressed, blue",2,2
Jimmy Carter,NPP,Can be somewhat careless,3,5
Jimmy Carter,NPP,Can be tense,4,2
Jimmy Carter,NPP,Generates a lot of enthusiasm,5,4
Jimmy Carter,NPP,Tends to be disorganized,6,1
Jimmy Carter,NPP,Is generally trusting,7,1
Jimmy Carter,NPP,"Is sometimes shy, inhibited",8,4
Jimmy Carter,NPP,Is considerate and kind to almost everyone,9,3
Jimmy Carter,NPP,"Is sophisticated in art, music, or Literature",10,1
Woodrow Wilson,NPP,Is talkative,1,3
Woodrow Wilson,NPP,Is helpful and unselfish with others,2,2
Woodrow Wilson,NPP,Is curious about many different things,3,1
Woodrow Wilson,NPP,Is full of energy,4,1
Woodrow Wilson,NPP,Is a reliable worker,5,3
Woodrow Wilson,NPP,Generates a lot of enthusiasm,6,4
Woodrow Wilson,NPP,Has a forgiving nature,7,1
Woodrow Wilson,NPP,Tends to be disorganized,8,4
Woodrow Wilson,NPP,Is generally trusting,9,4
Woodrow Wilson,NPP,Has an assertive personality,10,1
Woodrow Wilson,NPP,"Values artistic, aesthetic experiences",11,3
Woodrow Wilson,NPP,Is sometimes rude to others,12,1
Woodrow Wilson,NPP,"Is sophisticated in art, music, or Literature",13,4
Kofi Annan,NPP,Is talkative,1,1
Kofi Annan,NPP,"Is relaxed, handles stress well",2,5
Kofi Annan,NPP,Is full of energy,3,4
Kofi Annan,NPP,Is a reliable worker,4,1
Kofi Annan,NPP,Can be tense,5,1
Kofi Annan,NPP,Worries a lot,6,4
Kofi Annan,NPP,Has an active imagination,7,4
Kofi Annan,NPP,Is generally trusting,8,4
Kofi Annan,NPP,Can be moody,9,1
Kofi Annan,NPP,Prefers work that is routine,10,3
Kofi Annan,NPP,"Is outgoing, sociable",11,1
Kofi Annan,NPP,Makes plans and follows through with them,12,5
Kofi Annan,NPP,Gets nervous easily,13,4
Kofi Annan,NPP,Has few artistic interests,14,3
Lech Wałęsa,NPP,Is talkative,1,5
Lech Wałęsa,NPP,"Is depressed, blue",2,3
Lech Wałęsa,NPP,"Is original, comes up with new ideas",3,5
Lech Wałęsa,NPP,Is helpful and unselfish with others,4,4
Lech Wałęsa,NPP,"Is relaxed, handles stress well",5,4
Lech Wałęsa,NPP,Is curious about many different things,6,3
Lech Wałęsa,NPP,Is full of energy,7,1
Lech Wałęsa,NPP,"Is ingenious, a deep thinker",8,5
Lech Wałęsa,NPP,Generates a lot of enthusiasm,9,4
Lech Wałęsa,NPP,Has a forgiving nature,10,5
Lech Wałęsa,NPP,Tends to be disorganized,11,1
Lech Wałęsa,NPP,"Is emotionally stable, not easily upset",12,4
Lech Wałęsa,NPP,Is inventive,13,1
Lech Wałęsa,NPP,Has an assertive personality,14,1
Lech Wałęsa,NPP,Perseveres until the task is finished,15,1
Lech Wałęsa,NPP,"Values artistic, aesthetic experiences",16,1
Lech Wałęsa,NPP,Is considerate and kind to almost everyone,17,1
Lech Wałęsa,NPP,Does things efficiently,18,4
Lech Wałęsa,NPP,Remains calm in tense situations,19,3
Lech Wałęsa,NPP,"Is outgoing, sociable",20,3
Lech Wałęsa,NPP,Makes plans and follows through with them,21,1
Lech Wałęsa,NPP,Likes to cooperate with others,22,1
Lech Wałęsa,NPP,Is easily distracted,23,1
