Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Dominique Pire,3.75,2.889,3.556,2.625,3.1
Dorothy Stang,4.0,3.0,3.0,2.625,3.3
Ediriweera Sarachchandra,3.0,3.667,3.222,3.125,2.7
Eduardo Jorge Anzorena,3.25,3.667,2.778,3.125,3.0
Edward Michael Law-Yone,2.625,3.778,2.667,2.0,2.4
Eisaku Satō,4.25,3.222,2.778,2.625,2.9
Ela Bhatt,2.875,3.333,2.111,3.25,3.8
Eleanor Roosevelt,2.625,2.778,2.778,2.875,2.8
Elie Wiesel,2.25,3.889,3.111,2.25,3.3
Elihu Root,3.625,3.0,3.444,3.375,2.9
Ellen Johnson Sirleaf,2.75,3.111,3.556,3.25,3.3
Elsie Tu,2.625,3.667,3.667,3.125,3.2
Emily Greene Balch,3.125,3.222,3.556,3.125,3.3
Erica-Irene Daes,2.875,3.556,3.111,3.0,2.5
Ernesto Domingo,3.375,4.0,2.889,2.75,2.7
Ernesto Teodoro Moneta,3.75,3.111,2.667,2.875,2.6
Estela Barnes de Carlotto,2.75,3.556,3.222,2.875,2.9
Eugenia Apostol,3.5,2.667,3.0,2.375,3.8
F. Sionil José,3.5,4.0,2.111,2.875,2.6
F. W. de Klerk,2.875,2.556,3.778,3.125,3.5
Fazle Hasan Abed,4.25,2.556,3.0,4.125,3.7
Fe del Mundo,2.25,2.667,2.778,3.0,3.5
Fei Xiaotong,4.0,2.333,2.778,2.875,3.0
Ferdinand Buisson,2.875,2.778,3.444,2.625,3.7
Firdausi Qadri,3.125,3.222,2.111,2.875,2.6
Francisca Reyes-Aquino,3.0,2.889,3.667,4.25,3.0
Frank B. Kellogg,2.0,3.556,3.111,2.25,3.0
Fredrik Bajer,3.25,2.889,3.0,3.125,4.3
Fridtjof Nansen,3.125,2.444,3.111,3.125,3.3
Frédéric Passy,2.875,2.778,2.444,2.875,3.0
Fu Qiping,3.5,2.778,3.0,2.75,3.0
Fua Haripitak,3.625,3.667,2.889,2.5,3.1
Fusae Ichikawa,3.125,3.556,4.0,2.125,2.8
Ganesh Man Singh,2.25,3.0,3.222,3.375,3.1
Gao Yaojie,2.125,2.889,2.0,2.75,2.7
Genevieve Caulfield,2.75,3.889,3.778,3.375,3.8
George Marshall,3.25,2.778,3.556,2.625,2.6
Gerhard Fischer,2.5,3.333,2.667,3.125,3.5
Gethsie Shanmugam,3.0,2.778,3.0,2.75,2.7
Goh Keng Swee,2.25,3.111,2.667,2.625,3.4
Gour Kishore Ghosh,3.125,3.667,2.778,2.375,3.6
Grace Padaca,2.625,2.667,2.222,3.75,3.3
Gus Borgeest,2.875,2.778,2.667,2.625,3.3
Gustav Stresemann,2.25,3.222,3.556,2.75,3.4
HB Jassin,3.125,3.556,2.333,2.0,3.8
Habiba Sarābi,2.5,3.222,2.889,3.25,2.2
Hans Westenberg,2.875,3.333,3.111,2.375,2.9
Harish Hande,3.125,3.0,3.0,3.0,3.4
Harold Ray Watson,3.25,3.111,3.0,3.25,2.9
Hasanain Juaini,2.875,2.556,3.0,2.375,3.6
Hassib Ben Ammar,3.0,3.556,3.0,2.875,3.7
Haydee Yorac,2.75,3.0,3.667,3.875,4.1
Helen Kim,2.875,3.444,3.444,1.5,3.2
Helen Suzman,3.75,2.778,2.556,2.75,3.2
Henning Holck-Larsen,3.25,2.889,3.333,3.0,3.0
Henri La Fontaine,3.5,3.444,3.444,2.75,3.1
Henry Dunant,3.625,3.556,2.333,2.75,3.2
Henry Holland,3.125,3.333,3.667,2.375,3.2
Henry Kissinger,3.25,3.444,3.333,2.875,2.9
"Hilario Davide, Jr.",3.0,3.0,3.222,3.0,2.8
Hiljmnijeta Apuk,3.25,3.333,3.333,2.5,2.9
Hiroshi Kuroki,3.0,3.0,3.222,3.75,2.5
Hjalmar Branting,2.75,3.667,2.556,2.875,3.7
Horace Kadoorie,2.625,3.444,3.111,2.625,3.5
Howard Dee,3.125,2.556,3.889,2.875,3.1
Hsu Shih-chu,3.0,2.222,2.667,2.375,2.2
Hu Shuli,2.875,2.778,3.556,2.5,3.5
Huo Daishan,2.25,3.111,3.222,3.125,3.0
Ibn Abdur Rehman,2.5,3.0,2.778,2.75,2.8
Ikuo Hirayama,3.625,2.556,3.0,3.0,2.7
James B. Reuter,3.375,3.111,3.0,2.625,3.4
James Michael Lyngdoh,2.5,3.333,2.778,2.625,2.9
James P. Grant,3.5,3.333,2.444,2.875,2.5
Jane Addams,3.75,3.111,3.333,2.75,2.7
Jayaprakash Narayan,3.625,3.0,3.556,2.75,2.9
Jesse Robredo,3.375,3.778,3.333,3.625,3.4
Jiang Yanyong,3.5,3.556,3.111,3.0,3.4
Jimmy Carter,3.75,3.0,3.444,3.125,3.1
Jirō Kawakita,2.875,2.667,3.111,2.625,2.9
Jockin Arputham,3.5,3.444,3.333,2.375,3.3
Jody Williams,3.25,3.556,2.778,2.875,2.8
John Boyd Orr,3.25,2.889,3.556,1.5,2.9
John Hume,2.875,2.889,3.778,1.875,3.2
John Mott,2.5,3.222,3.444,3.5,3.1
John Peters Humphrey,3.25,3.222,3.444,2.125,3.3
Jon Ungpakorn,4.0,3.556,3.889,3.375,3.1
Jose Vasquez Aguilar,3.125,3.111,4.0,3.5,3.7
Joseph Rotblat,3.25,4.111,3.667,3.625,3.0
José Gregori,3.0,3.667,3.222,2.75,3.4
José Ramos-Horta,3.625,3.667,3.111,3.125,2.3
Jovito R. Salonga,3.875,3.556,2.556,2.5,2.7
Joênia Wapichana,3.75,3.111,3.111,2.25,3.0
Juan Manuel Santos,2.5,2.778,2.556,3.75,2.9
Julienne Lusenge,2.875,3.222,3.889,2.875,2.9
Julio Tumiri Javier,3.125,3.222,3.778,2.75,2.7
Julius Nyerere,2.875,2.667,3.0,2.5,3.1
K. V. Subbanna,3.5,3.111,2.667,3.25,3.1
Ka Hsaw Wa,3.375,2.778,2.556,2.875,3.5
Kailash Satyarthi,2.875,3.111,3.444,3.375,3.1
Kamaladevi Chattopadhyay,2.125,3.778,3.556,3.625,3.6
Kayser Sung,3.75,2.556,3.444,3.625,2.8
Keo Viphakone,2.5,2.556,3.111,3.0,3.2
Khadija Ryadi,2.5,4.0,4.444,3.25,4.1
Kim Dae-jung,3.5,2.556,3.0,3.625,3.0
Kim Sun-tae,2.625,2.556,3.333,2.625,3.0
Kim Yong-ki,3.25,2.889,2.222,3.375,3.2
Kiran Bedi,2.875,2.778,3.333,3.25,3.0
Klas Pontus Arnoldson,3.375,3.778,3.0,2.625,3.3
Kofi Annan,2.875,3.111,3.222,3.125,3.8
Kommaly Chanthavong,3.0,4.0,3.444,2.375,3.3
Koul Panha,2.875,3.111,3.111,3.125,2.8
Krasae Chanawongse,4.125,2.778,3.667,2.625,2.8
Krisana Kraisintu,2.5,2.667,2.889,3.25,3.4
Kulandei Francis,4.0,3.222,2.667,3.0,3.3
Kwoh-Ting Li,3.125,2.222,2.556,2.75,3.4
Kyaw Thu,2.875,2.889,2.222,3.375,2.9
LaSalle Ishii,2.375,2.222,3.333,2.5,3.9
Lahpai Seng Raw,3.0,3.222,3.333,2.5,3.5
Lakshmi Chand Jain,2.875,2.889,3.444,2.75,3.9
"Lawrence Kadoorie, Baron Kadoorie",3.625,3.444,3.333,2.125,2.9
Laxminarayan Ramdas,3.125,3.111,3.556,3.0,4.1
Le Duc Tho,2.625,3.111,3.222,2.375,3.1
Lech Wałęsa,3.0,3.444,2.778,2.875,2.6
Lee Tai-young,3.375,2.444,3.556,3.0,3.5
Leonidas Proaño,2.5,3.556,2.333,3.0,3.3
Lester B. Pearson,3.625,2.889,3.333,2.625,3.4
Leymah Roberta Gbowee,2.0,3.111,3.667,3.25,2.9
Liang Congjie,3.0,3.333,2.889,3.125,3.3
Ligaya Fernando-Amilbangsa,4.125,3.889,2.889,3.125,3.3
Liisa Kauppinen,3.0,3.333,3.667,2.875,4.6
Lim Kim San,2.875,2.111,3.889,1.25,3.4
Lin Hwai-min,2.875,3.444,3.111,2.25,2.9
Lino Brocka,3.25,3.556,2.556,3.375,2.2
Linus Pauling,2.75,3.0,3.556,4.0,3.1
Liu Xiaobo,3.75,3.0,3.778,3.375,3.1
Louis Renault,3.5,3.333,3.333,3.125,3.1
Louise Arbour,3.5,3.0,2.889,2.75,2.4
Ludwig Quidde,3.5,3.778,3.778,3.5,3.5
Léon Bourgeois,2.75,3.556,3.111,3.125,3.2
Léon Jouhaux,3.125,3.889,3.556,3.25,2.9
M. S. Subbulakshmi,4.0,3.111,2.889,3.25,4.2
M. S. Swaminathan,2.875,4.0,3.0,2.875,3.4
Ma Jun,2.5,3.111,2.556,2.875,3.1
Mabelle Arole,3.5,3.222,3.333,2.375,3.4
Mahabir Pun,3.625,2.889,3.778,3.125,3.0
Mahasweta Devi,3.75,4.0,3.333,2.625,2.4
Mahesh Chandra Mehta,3.75,3.111,3.889,3.375,2.4
Mahesh Chandra Regmi,2.75,3.667,3.444,2.0,3.4
Mairead Maguire,3.125,3.111,2.444,2.875,3.9
Malala Yousafzai,3.125,2.778,3.889,2.625,2.6
Mandakini Amte,3.375,2.0,2.889,2.875,3.5
Manibhai Desai,3.25,3.0,3.333,2.875,2.5
Manna Dey,3.125,3.111,2.444,4.25,2.8
Manuel Bianchi Gundián,2.75,4.111,2.444,3.0,3.1
Marcelline Jayakody,3.25,2.889,2.667,4.0,3.6
Maria Ressa,3.25,2.667,2.556,2.375,3.8
Maria de Lourdes Martins Cruz,3.375,3.222,2.333,2.375,3.8
Martin Luther King Jr.,3.0,2.889,3.222,2.375,3.4
Martti Ahtisaari,3.125,3.778,3.444,2.875,2.8
Mary Rutnam,3.0,4.778,3.111,3.25,3.3
María Lavalle Urbina,2.875,2.444,3.0,3.125,3.6
Masanobu Fukuoka,3.75,2.667,4.111,2.125,2.4
Matiur Rahman,2.75,2.889,3.556,3.25,3.6
Mechai Viravaidya,2.375,3.444,3.0,2.625,3.2
Mehrangiz Manoochehrian,3.0,2.444,2.667,2.375,3.0
Menachem Begin,3.875,2.889,2.333,3.875,2.5
Michiko Ishimure,3.125,3.444,3.111,3.0,3.5
Mikhail Gorbachev,3.0,2.889,2.444,3.625,3.3
Miriam Defensor Santiago,2.875,3.222,2.556,3.375,3.0
Mochtar Lubis,3.75,2.778,3.667,2.875,2.8
Mohamed ElBaradei,2.875,2.667,3.333,2.375,2.7
Mohamed Suffian Mohamed Hashim,3.0,3.222,3.0,3.5,3.5
Morihiko Hiramatsu,3.125,3.111,2.667,2.75,3.1
Mother Teresa,2.0,4.111,3.667,2.875,2.8
Muhammad Yunus,3.5,3.0,3.333,3.625,3.6
Nadia Murad Basee,3.0,2.667,3.0,3.875,2.9
Narges Mohammadi,1.75,3.444,3.333,1.75,2.9
Nathan Söderblom,3.0,3.556,3.222,2.75,2.8
Ne Win,2.875,2.889,2.778,2.625,3.5
Nelson Mandela,3.25,3.222,3.667,2.5,3.4
Nelson Rockefeller,2.875,2.889,3.556,3.75,3.4
Nguyen Lac Hoa,3.5,3.556,3.222,1.75,2.4
Nicholas Murray Butler,2.75,2.778,4.0,3.25,3.3
Nick Joaquin,2.0,3.444,3.444,3.0,3.0
Nilawan Pintong,3.125,2.111,3.667,2.625,2.8
Nileema Mishra,2.625,3.222,3.0,2.5,3.2
Noboru Iwamura,3.125,3.0,2.778,3.5,2.7
Norman Angell,3.25,2.667,3.778,3.75,2.9
Norman Borlaug,3.5,3.111,3.111,3.125,3.0
Omara Khan Massoudi,2.75,3.889,3.333,2.375,3.3
Oung Chanthol,2.375,2.444,3.444,3.25,1.9
P. K. Sethi,2.625,3.111,2.889,2.75,2.6
Pablo Torres Tapia,3.25,3.111,3.0,2.75,2.4
Palagummi Sainath,2.75,2.667,3.0,1.75,2.7
Palayil Narayanan,2.625,3.444,3.0,2.625,3.2
Pan Yue,3.5,2.556,3.444,3.375,2.5
Pandurang Shastri Athavale,3.0,2.667,3.333,3.375,3.3
Park Won-soon,4.125,3.444,2.778,2.625,3.0
Patrick James McGlinchey,3.625,2.889,3.111,2.375,3.3
Paul-Henri-Benjamin d'Estournelles de Constant,3.0,2.778,3.0,2.375,2.5
Pedro Orata,3.875,2.111,3.111,2.625,3.6
Petr Emelyanovich Nedbailo,2.5,2.778,2.556,3.0,3.0
"Philip Noel-Baker, Baron Noel-Baker",2.75,3.333,2.667,3.0,3.5
Phon Sangsingkeo,2.5,2.444,2.889,3.0,2.8
Pomnyun,2.875,2.889,2.556,2.625,3.0
Prakash Amte,2.625,2.778,3.111,3.375,3.2
Pramoedya Ananta Toer,3.0,4.0,3.667,3.375,4.1
Prateep Ungsongtham Hata,3.125,3.0,3.0,3.125,3.0
Prawase Wasi,3.25,3.333,3.222,3.625,3.9
Prayoon Chanyavongs,3.75,3.333,2.556,2.5,2.8
Prince Sadruddin Aga Khan,2.75,2.889,2.889,2.875,2.9
Puey Ungpakorn,3.25,2.444,2.222,3.5,2.8
R. K. Laxman,2.75,2.667,2.778,4.125,3.1
Ra'ana Liaquat Ali Khan,3.625,2.556,3.111,2.625,3.7
Raden Kodijat,2.625,3.444,2.444,3.5,2.3
Raja Muhammad Alias,3.5,3.111,2.778,2.875,3.9
Rajanikant Arole,3.375,1.889,3.333,3.375,2.8
Rajendra Singh,3.375,3.0,3.778,3.25,2.5
Ralph Bunche,3.75,3.111,2.889,3.25,3.9
Ramsey Clark,3.25,2.667,2.889,2.875,2.6
Randal Cremer,3.375,2.778,3.111,2.375,2.8
Randy Halasan,3.5,2.444,3.333,1.875,3.5
Ravi Shankar,3.625,3.333,3.444,3.25,2.7
Ravish Kumar,2.75,3.556,2.778,1.625,3.3
René Cassin,3.375,2.556,3.556,3.625,3.8
Richard William Timm,3.125,4.0,3.111,2.375,2.9
Rigoberta Menchú,3.125,3.111,3.333,3.125,3.1
Rizwana Hasan,3.375,2.778,3.889,3.25,2.7
Robert Cecil,3.25,3.556,3.444,2.25,3.6
Romulo Davide,3.875,3.556,2.333,2.75,3.6
Rosa Rosal,2.75,3.444,3.667,2.125,2.6
Ruth Pfau,3.5,3.111,3.556,2.625,3.0
Saburo Okita,3.25,3.333,3.444,3.625,3.3
Sadako Ogata,3.375,2.667,3.444,3.125,3.8
Sandeep Pandey,3.5,3.333,3.556,2.5,3.8
Sanduk Ruit,3.125,3.667,3.333,2.75,3.0
Sanjiv Chaturvedi,2.75,2.667,2.667,2.75,3.6
Satyajit Ray,2.5,2.889,2.111,3.25,3.2
Schulamit König,3.0,3.556,2.444,4.125,2.6
Seewoosagur Ramgoolam,3.125,3.333,3.556,3.0,3.3
Seiei Tōyama,2.625,3.222,4.222,2.25,2.5
Seiichi Tobata,3.25,3.667,2.556,3.125,3.7
Seán MacBride,2.75,3.0,3.111,2.375,3.7
Shahrum bin Yub,3.5,3.222,3.444,2.5,3.5
Shantha Sinha,4.125,2.667,2.889,3.0,3.8
Sheila Coronel,3.5,3.111,3.333,2.625,2.5
Shigeharu Matsumoto,3.25,2.889,2.556,3.25,2.8
Shimon Peres,3.0,3.778,3.778,3.5,2.8
Shirin Ebadi,2.875,2.778,3.333,2.5,3.5
Shiroshi Nasu,3.0,3.556,3.667,2.875,3.6
Shoaib Sultan Khan,2.875,2.889,3.444,1.625,3.0
Sima Samar,3.625,3.333,2.889,3.25,2.7
"Sirindhorn, Princess Royal",3.5,2.889,3.222,1.75,3.7
Sithiporn Kridakara,3.75,3.111,3.222,3.125,2.5
Soedjatmoko,3.0,3.222,3.111,3.125,3.0
Sombath Somphone,2.875,2.444,3.222,2.0,3.3
Sombhu Mitra,3.125,4.111,2.889,2.875,3.6
Sonam Wangchuk,4.125,2.889,3.111,2.75,3.4
Sonia Picado Sotela,3.25,3.889,3.778,2.25,3.6
Sophon Supapong,3.5,3.889,3.667,2.625,4.0
Su Nan-cheng,3.625,3.444,3.333,2.75,2.2
Sunila Abeysekera,3.25,2.444,2.444,3.625,3.4
Swe Win,4.0,2.333,2.556,2.125,3.3
Sérgio Vieira de Mello,2.25,2.444,3.222,2.375,3.3
T. M. Krishna,2.875,2.222,3.0,3.0,3.0
T. N. Seshan,2.875,2.222,3.444,2.375,3.2
Ta-You Wu,3.0,3.222,3.111,2.125,2.9
Tadatoshi Akiba,3.25,3.333,3.111,3.0,3.5
Taha Hussein,3.125,3.111,3.0,2.875,3.4
Tahrunessa Abdullah,2.75,3.333,3.0,2.375,3.6
Tang Xiyang,3.125,2.667,3.556,1.75,3.4
Tarzie Vittachi,3.25,3.556,3.333,4.125,2.2
Tawakkol Karman,3.5,3.0,3.0,3.0,3.6
Tee Tee Luce,3.0,2.889,3.222,2.625,3.3
Tenzin Gyatso,2.875,3.778,3.556,2.375,2.6
Teten Masduki,3.625,2.778,2.111,2.75,3.0
Tetsu Nakamura,2.125,2.889,3.333,2.875,2.8
Theodore Roosevelt,3.375,2.556,2.444,2.875,3.3
Therdchai Jivacate,2.75,3.444,3.333,3.875,3.1
Timothy Conigrave,3.875,2.889,3.222,2.75,3.4
Tobias Asser,4.125,3.111,3.556,3.125,3.4
Ton That Thien,2.375,2.889,2.667,2.875,3.8
Tony Meloto,3.125,3.0,2.778,3.125,3.2
Tony Tay,2.375,3.778,3.556,2.25,3.4
Toshihiro Takami,3.75,3.0,2.889,3.875,2.9
Toshikazu Wakatsuki,2.875,3.0,3.333,2.125,3.3
Tri Mumpuni,3.125,2.667,4.111,2.75,2.9
Tribhuvandas Kishibhai Patel,3.125,3.444,2.444,3.25,3.7
Tunku Abdul Rahman,3.125,3.0,2.889,3.375,3.6
U Thant,3.75,3.333,3.333,3.125,3.3
V Shanta,3.625,3.333,2.556,2.75,3.0
Verghese Kurien,3.375,3.333,2.778,3.125,2.5
Vinoba Bhave,2.5,3.111,3.778,2.375,2.7
Vo Tong Xuan,3.625,3.778,2.667,2.25,3.4
Václav Havel,2.375,3.222,2.778,2.75,2.5
W. D. Amaradeva,3.5,2.333,3.556,2.875,4.6
Wahiduddin Khan,2.75,3.889,3.556,3.25,2.7
Wang Canfa,3.0,2.778,3.444,2.875,3.1
Wangari Muta Maathai,3.0,2.778,3.0,2.875,2.7
Washington SyCip,3.375,3.0,2.778,2.625,3.2
Welthy Honsinger Fisher,3.25,3.444,2.556,3.875,3.6
Wilfred Jenks,3.375,2.778,2.889,3.625,3.2
William Masterson,3.25,3.333,3.333,2.25,3.3
Willy Brandt,3.125,3.333,3.333,3.125,3.2
Winnie Madikizela-Mandela,3.0,3.556,3.333,3.0,3.5
Woodrow Wilson,3.125,3.111,3.333,2.75,3.6
Wu Qing,3.125,2.444,2.222,2.875,2.7
Y. C. James Yen,2.875,2.889,3.333,3.5,2.6
Yang Saing Koma,2.125,2.222,3.778,2.5,3.4
Yasser Arafat,3.5,2.889,3.333,2.0,3.1
Yasuji Hanamori,2.875,3.444,3.0,2.875,2.6
Yi Cheol-seung,3.625,2.0,3.444,2.75,2.4
Ying Ruocheng,2.5,2.889,1.778,2.625,3.3
Yizhak Rabin,3.375,3.778,2.333,2.25,2.8
Yoon Hye-ran,3.125,2.667,3.556,3.125,2.7
Yoshiaki Ishizawa,2.875,2.667,2.444,3.25,3.9
Youk Chhang,3.125,3.0,3.778,2.75,2.9
Yu Xiaogang,3.0,3.0,2.333,2.375,2.9
Yuan Longping,4.125,3.333,3.778,2.0,3.3
Yukiharu Miki,2.875,3.222,2.444,2.875,2.7
Zacarias Sarian,3.0,2.889,4.0,1.75,3.3
Zafrullah Chowdhury,3.375,2.889,2.889,3.625,3.1
Zakiah Hanum Abd Hamid,2.75,3.444,4.0,2.625,2.9
Élie Ducommun,3.5,2.778,2.778,2.5,3.9
Óscar Arias Sánchez,2.875,2.778,3.889,2.375,3.9
