persona,item,scale,result
Michael Jackson,Has a forgiving nature,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Michael Jackson,Tends to be disorganized,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Michael Jackson,Worries a lot,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Michael Jackson,Has an active imagination,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Michael Jackson,Tends to be quiet,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Michael Jackson,Is generally trusting,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Michael Jackson,Tends to be lazy,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Michael Jackson,"Is emotionally stable, not easily upset","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Michael Jackson,Is inventive,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Michael Jackson,Has an assertive personality,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Michael Jackson,Can be cold and aloof,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Michael Jackson,Perseveres until the task is finished,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Michael Jackson,Can be moody,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Michael Jackson,"Values artistic, aesthetic experiences","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Michael Jackson,"Is sometimes shy, inhibited","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Michael Jackson,Is considerate and kind to almost everyone,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Michael Jackson,Does things efficiently,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Michael Jackson,Remains calm in tense situations,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Michael Jackson,Prefers work that is routine,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Michael Jackson,"Is outgoing, sociable","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Michael Jackson,Is sometimes rude to others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Michael Jackson,Makes plans and follows through with them,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Michael Jackson,Gets nervous easily,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Michael Jackson,"Likes to reflect, play with ideas","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Michael Jackson,Has few artistic interests,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",1
Michael Jackson,Likes to cooperate with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Michael Jackson,Is easily distracted,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Michael Jackson,"Is sophisticated in art, music, or Literature","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Is talkative,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Tends to find fault with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Does a thorough job,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,"Is depressed, blue","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Donald Trump,"Is original, comes up with new ideas","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Is reserved,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Is helpful and unselfish with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Can be somewhat careless,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",1
Donald Trump,"Is relaxed, handles stress well","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Is curious about many different things,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Donald Trump,Is full of energy,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Starts quarrels with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Is a reliable worker,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Can be tense,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,"Is ingenious, a deep thinker","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Generates a lot of enthusiasm,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Has a forgiving nature,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Donald Trump,Tends to be disorganized,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Donald Trump,Worries a lot,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",1
Donald Trump,Has an active imagination,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Tends to be quiet,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Is generally trusting,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Donald Trump,Tends to be lazy,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Donald Trump,"Is emotionally stable, not easily upset","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Is inventive,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Has an assertive personality,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Can be cold and aloof,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Donald Trump,Perseveres until the task is finished,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Can be moody,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,"Values artistic, aesthetic experiences","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",1
Donald Trump,"Is sometimes shy, inhibited","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Is considerate and kind to almost everyone,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Donald Trump,Does things efficiently,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Remains calm in tense situations,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Prefers work that is routine,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Donald Trump,"Is outgoing, sociable","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Is sometimes rude to others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",1
Donald Trump,Makes plans and follows through with them,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Gets nervous easily,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",1
Donald Trump,"Likes to reflect, play with ideas","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Donald Trump,Has few artistic interests,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Donald Trump,Likes to cooperate with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Donald Trump,Is easily distracted,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",1
Donald Trump,"Is sophisticated in art, music, or Literature","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Is talkative,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Tends to find fault with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Ronald Reagan,Does a thorough job,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Ronald Reagan,"Is depressed, blue","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Ronald Reagan,"Is original, comes up with new ideas","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Ronald Reagan,Is reserved,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Ronald Reagan,Is helpful and unselfish with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Can be somewhat careless,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Ronald Reagan,"Is relaxed, handles stress well","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Ronald Reagan,Is curious about many different things,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Is full of energy,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Starts quarrels with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Ronald Reagan,Is a reliable worker,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Can be tense,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Ronald Reagan,"Is ingenious, a deep thinker","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Ronald Reagan,Generates a lot of enthusiasm,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Has a forgiving nature,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Tends to be disorganized,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Ronald Reagan,Worries a lot,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Ronald Reagan,Has an active imagination,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Tends to be quiet,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Ronald Reagan,Is generally trusting,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Ronald Reagan,Tends to be lazy,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Ronald Reagan,"Is emotionally stable, not easily upset","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Is inventive,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Has an assertive personality,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Can be cold and aloof,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Ronald Reagan,Perseveres until the task is finished,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Can be moody,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Ronald Reagan,"Values artistic, aesthetic experiences","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Ronald Reagan,"Is sometimes shy, inhibited","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",1
Ronald Reagan,Is considerate and kind to almost everyone,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Does things efficiently,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Ronald Reagan,Remains calm in tense situations,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Prefers work that is routine,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Ronald Reagan,"Is outgoing, sociable","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Ronald Reagan,Is sometimes rude to others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Ronald Reagan,Makes plans and follows through with them,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Gets nervous easily,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Ronald Reagan,"Likes to reflect, play with ideas","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Ronald Reagan,Has few artistic interests,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Ronald Reagan,Likes to cooperate with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Ronald Reagan,Is easily distracted,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Ronald Reagan,"Is sophisticated in art, music, or Literature","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,Is talkative,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Charlie Chaplin,Tends to find fault with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Charlie Chaplin,Does a thorough job,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,"Is depressed, blue","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Charlie Chaplin,"Is original, comes up with new ideas","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Charlie Chaplin,Is reserved,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,Is helpful and unselfish with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Charlie Chaplin,Can be somewhat careless,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Charlie Chaplin,"Is relaxed, handles stress well","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,Is curious about many different things,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Charlie Chaplin,Is full of energy,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,Starts quarrels with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Charlie Chaplin,Is a reliable worker,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,Can be tense,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,"Is ingenious, a deep thinker","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,Generates a lot of enthusiasm,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,Has a forgiving nature,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,Tends to be disorganized,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Charlie Chaplin,Worries a lot,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,Has an active imagination,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Charlie Chaplin,Tends to be quiet,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Charlie Chaplin,Is generally trusting,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,Tends to be lazy,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Charlie Chaplin,"Is emotionally stable, not easily upset","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Charlie Chaplin,Is inventive,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Charlie Chaplin,Has an assertive personality,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Charlie Chaplin,Can be cold and aloof,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,Perseveres until the task is finished,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Charlie Chaplin,Can be moody,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,"Values artistic, aesthetic experiences","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Charlie Chaplin,"Is sometimes shy, inhibited","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,Is considerate and kind to almost everyone,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Charlie Chaplin,Does things efficiently,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Charlie Chaplin,Remains calm in tense situations,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,Prefers work that is routine,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Charlie Chaplin,"Is outgoing, sociable","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Charlie Chaplin,Is sometimes rude to others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Charlie Chaplin,Makes plans and follows through with them,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Charlie Chaplin,Gets nervous easily,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,"Likes to reflect, play with ideas","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Charlie Chaplin,Has few artistic interests,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Charlie Chaplin,Likes to cooperate with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Charlie Chaplin,Is easily distracted,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Charlie Chaplin,"Is sophisticated in art, music, or Literature","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Hans Christian Andersen,Is talkative,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Hans Christian Andersen,Tends to find fault with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Hans Christian Andersen,Does a thorough job,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Hans Christian Andersen,"Is depressed, blue","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Hans Christian Andersen,"Is original, comes up with new ideas","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Hans Christian Andersen,Is reserved,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Hans Christian Andersen,Is helpful and unselfish with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Hans Christian Andersen,Can be somewhat careless,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Hans Christian Andersen,"Is relaxed, handles stress well","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Hans Christian Andersen,Is curious about many different things,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Hans Christian Andersen,Is full of energy,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Hans Christian Andersen,Starts quarrels with others,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",2
Hans Christian Andersen,Is a reliable worker,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Hans Christian Andersen,Can be tense,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",3
Hans Christian Andersen,"Is ingenious, a deep thinker","1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Hans Christian Andersen,Generates a lot of enthusiasm,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",5
Hans Christian Andersen,Has a forgiving nature,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
Hans Christian Andersen,Tends to be disorganized,"1 - Strongly Disagree, 2 - Disagree, 3 - Neutral, 4 - Agree, 5 - Strongly Agree",4
