persona,text,likert_scale,Itemnum,answer
Petr Čech,"Is depressed, blue",1 to 5,4,3
Petr Čech,"Is original, comes up with new ideas",1 to 5,5,3
Petr Čech,Is reserved,1 to 5,6,1
Petr Čech,Is helpful and unselfish with others,1 to 5,7,3
Petr Čech,Can be somewhat careless,1 to 5,8,5
Petr Čech,"Is relaxed, handles stress well",1 to 5,9,5
Petr Čech,Is curious about many different things,1 to 5,10,2
Petr Čech,Is full of energy,1 to 5,11,5
Petr Čech,Starts quarrels with others,1 to 5,12,2
Petr Čech,Is a reliable worker,1 to 5,13,5
Petr Čech,Can be tense,1 to 5,14,4
Petr Čech,"Is ingenious, a deep thinker",1 to 5,15,5
Petr Čech,Generates a lot of enthusiasm,1 to 5,16,5
Petr Čech,Has a forgiving nature,1 to 5,17,3
Petr Čech,Tends to be disorganized,1 to 5,18,3
Petr Čech,Worries a lot,1 to 5,19,4
Petr Čech,Has an active imagination,1 to 5,20,3
Petr Čech,Tends to be quiet,1 to 5,21,3
Petr Čech,Is generally trusting,1 to 5,22,3
Petr Čech,Tends to be lazy,1 to 5,23,3
Petr Čech,"Is emotionally stable, not easily upset",1 to 5,24,4
Petr Čech,Is inventive,1 to 5,25,3
Petr Čech,Has an assertive personality,1 to 5,26,3
Petr Čech,Can be cold and aloof,1 to 5,27,1
Petr Čech,Perseveres until the task is finished,1 to 5,28,5
Petr Čech,Can be moody,1 to 5,29,3
Petr Čech,"Values artistic, aesthetic experiences",1 to 5,30,2
Petr Čech,"Is sometimes shy, inhibited",1 to 5,31,1
Petr Čech,Is considerate and kind to almost everyone,1 to 5,32,4
Petr Čech,Does things efficiently,1 to 5,33,5
Petr Čech,Remains calm in tense situations,1 to 5,34,5
Petr Čech,Prefers work that is routine,1 to 5,35,5
Petr Čech,"Is outgoing, sociable",1 to 5,36,3
Petr Čech,Is sometimes rude to others,1 to 5,37,5
Petr Čech,Makes plans and follows through with them,1 to 5,38,4
Petr Čech,Gets nervous easily,1 to 5,39,4
Petr Čech,"Likes to reflect, play with ideas",1 to 5,40,3
Petr Čech,Has few artistic interests,1 to 5,41,3
Petr Čech,Likes to cooperate with others,1 to 5,42,3
Petr Čech,Is easily distracted,1 to 5,43,3
Petr Čech,"Is sophisticated in art, music, or Literature",1 to 5,44,5
Magnús Scheving,Is talkative,1 to 5,1,5
Magnús Scheving,Tends to find fault with others,1 to 5,2,1
Magnús Scheving,Does a thorough job,1 to 5,3,2
Magnús Scheving,"Is depressed, blue",1 to 5,4,4
Magnús Scheving,"Is original, comes up with new ideas",1 to 5,5,4
Magnús Scheving,Is reserved,1 to 5,6,1
Magnús Scheving,Is helpful and unselfish with others,1 to 5,7,4
Magnús Scheving,Can be somewhat careless,1 to 5,8,3
Magnús Scheving,"Is relaxed, handles stress well",1 to 5,9,2
Magnús Scheving,Is curious about many different things,1 to 5,10,3
Magnús Scheving,Is full of energy,1 to 5,11,5
Magnús Scheving,Starts quarrels with others,1 to 5,12,1
Magnús Scheving,Is a reliable worker,1 to 5,13,1
Magnús Scheving,Can be tense,1 to 5,14,3
Magnús Scheving,"Is ingenious, a deep thinker",1 to 5,15,5
Magnús Scheving,Generates a lot of enthusiasm,1 to 5,16,5
Magnús Scheving,Has a forgiving nature,1 to 5,17,3
Magnús Scheving,Tends to be disorganized,1 to 5,18,3
Magnús Scheving,Worries a lot,1 to 5,19,2
Magnús Scheving,Has an active imagination,1 to 5,20,4
Magnús Scheving,Tends to be quiet,1 to 5,21,4
Magnús Scheving,Is generally trusting,1 to 5,22,3
Magnús Scheving,Tends to be lazy,1 to 5,23,3
Magnús Scheving,"Is emotionally stable, not easily upset",1 to 5,24,5
Magnús Scheving,Is inventive,1 to 5,25,5
Magnús Scheving,Has an assertive personality,1 to 5,26,2
Magnús Scheving,Can be cold and aloof,1 to 5,27,3
Magnús Scheving,Perseveres until the task is finished,1 to 5,28,4
Magnús Scheving,Can be moody,1 to 5,29,3
Magnús Scheving,"Values artistic, aesthetic experiences",1 to 5,30,3
Magnús Scheving,"Is sometimes shy, inhibited",1 to 5,31,4
Magnús Scheving,Is considerate and kind to almost everyone,1 to 5,32,5
Magnús Scheving,Does things efficiently,1 to 5,33,2
Magnús Scheving,Remains calm in tense situations,1 to 5,34,5
Magnús Scheving,Prefers work that is routine,1 to 5,35,5
Magnús Scheving,"Is outgoing, sociable",1 to 5,36,5
Magnús Scheving,Is sometimes rude to others,1 to 5,37,1
Magnús Scheving,Makes plans and follows through with them,1 to 5,38,5
Magnús Scheving,Gets nervous easily,1 to 5,39,3
Magnús Scheving,"Likes to reflect, play with ideas",1 to 5,40,5
Magnús Scheving,Has few artistic interests,1 to 5,41,3
Magnús Scheving,Likes to cooperate with others,1 to 5,42,5
Magnús Scheving,Is easily distracted,1 to 5,43,1
Magnús Scheving,"Is sophisticated in art, music, or Literature",1 to 5,44,5
Dave Bautista,Is talkative,1 to 5,1,5
Dave Bautista,Tends to find fault with others,1 to 5,2,3
Dave Bautista,Does a thorough job,1 to 5,3,4
Dave Bautista,"Is depressed, blue",1 to 5,4,4
Dave Bautista,"Is original, comes up with new ideas",1 to 5,5,5
Dave Bautista,Is reserved,1 to 5,6,5
Dave Bautista,Is helpful and unselfish with others,1 to 5,7,2
Dave Bautista,Can be somewhat careless,1 to 5,8,5
Dave Bautista,"Is relaxed, handles stress well",1 to 5,9,5
Dave Bautista,Is curious about many different things,1 to 5,10,5
Dave Bautista,Is full of energy,1 to 5,11,3
Dave Bautista,Starts quarrels with others,1 to 5,12,4
Dave Bautista,Is a reliable worker,1 to 5,13,5
Dave Bautista,Can be tense,1 to 5,14,5
Dave Bautista,"Is ingenious, a deep thinker",1 to 5,15,4
Dave Bautista,Generates a lot of enthusiasm,1 to 5,16,1
Dave Bautista,Has a forgiving nature,1 to 5,17,5
Dave Bautista,Tends to be disorganized,1 to 5,18,3
Dave Bautista,Worries a lot,1 to 5,19,5
Dave Bautista,Has an active imagination,1 to 5,20,5
Dave Bautista,Tends to be quiet,1 to 5,21,5
Dave Bautista,Is generally trusting,1 to 5,22,5
Dave Bautista,Tends to be lazy,1 to 5,23,3
Dave Bautista,"Is emotionally stable, not easily upset",1 to 5,24,5
Dave Bautista,Is inventive,1 to 5,25,4
Dave Bautista,Has an assertive personality,1 to 5,26,4
Dave Bautista,Can be cold and aloof,1 to 5,27,3
Dave Bautista,Perseveres until the task is finished,1 to 5,28,5
Dave Bautista,Can be moody,1 to 5,29,3
Dave Bautista,"Values artistic, aesthetic experiences",1 to 5,30,5
Dave Bautista,"Is sometimes shy, inhibited",1 to 5,31,3
Dave Bautista,Is considerate and kind to almost everyone,1 to 5,32,5
Dave Bautista,Does things efficiently,1 to 5,33,4
Dave Bautista,Remains calm in tense situations,1 to 5,34,3
Dave Bautista,Prefers work that is routine,1 to 5,35,4
Dave Bautista,"Is outgoing, sociable",1 to 5,36,5
Dave Bautista,Is sometimes rude to others,1 to 5,37,5
Dave Bautista,Makes plans and follows through with them,1 to 5,38,4
Dave Bautista,Gets nervous easily,1 to 5,39,4
Dave Bautista,"Likes to reflect, play with ideas",1 to 5,40,5
Dave Bautista,Has few artistic interests,1 to 5,41,3
Dave Bautista,Likes to cooperate with others,1 to 5,42,2
Dave Bautista,Is easily distracted,1 to 5,43,3
Dave Bautista,"Is sophisticated in art, music, or Literature",1 to 5,44,5
Pavel Nedvěd,Is talkative,1 to 5,1,5
Pavel Nedvěd,Tends to find fault with others,1 to 5,2,3
Pavel Nedvěd,Does a thorough job,1 to 5,3,4
Pavel Nedvěd,"Is depressed, blue",1 to 5,4,3
Pavel Nedvěd,"Is original, comes up with new ideas",1 to 5,5,4
Pavel Nedvěd,Is reserved,1 to 5,6,4
Pavel Nedvěd,Is helpful and unselfish with others,1 to 5,7,5
Pavel Nedvěd,Can be somewhat careless,1 to 5,8,4
Pavel Nedvěd,"Is relaxed, handles stress well",1 to 5,9,4
Pavel Nedvěd,Is curious about many different things,1 to 5,10,3
Pavel Nedvěd,Is full of energy,1 to 5,11,5
Pavel Nedvěd,Starts quarrels with others,1 to 5,12,3
Pavel Nedvěd,Is a reliable worker,1 to 5,13,5
Pavel Nedvěd,Can be tense,1 to 5,14,3
Pavel Nedvěd,"Is ingenious, a deep thinker",1 to 5,15,3
Pavel Nedvěd,Generates a lot of enthusiasm,1 to 5,16,4
Pavel Nedvěd,Has a forgiving nature,1 to 5,17,3
Pavel Nedvěd,Tends to be disorganized,1 to 5,18,1
Pavel Nedvěd,Worries a lot,1 to 5,19,1
Pavel Nedvěd,Has an active imagination,1 to 5,20,5
Pavel Nedvěd,Tends to be quiet,1 to 5,21,5
Pavel Nedvěd,Is generally trusting,1 to 5,22,3
Pavel Nedvěd,Tends to be lazy,1 to 5,23,3
Pavel Nedvěd,"Is emotionally stable, not easily upset",1 to 5,24,3
Pavel Nedvěd,Is inventive,1 to 5,25,1
Pavel Nedvěd,Has an assertive personality,1 to 5,26,3
Pavel Nedvěd,Can be cold and aloof,1 to 5,27,2
Pavel Nedvěd,Perseveres until the task is finished,1 to 5,28,5
Pavel Nedvěd,Can be moody,1 to 5,29,3
Pavel Nedvěd,"Values artistic, aesthetic experiences",1 to 5,30,4
Pavel Nedvěd,"Is sometimes shy, inhibited",1 to 5,31,5
Pavel Nedvěd,Is considerate and kind to almost everyone,1 to 5,32,3
Pavel Nedvěd,Does things efficiently,1 to 5,33,5
Pavel Nedvěd,Remains calm in tense situations,1 to 5,34,3
Pavel Nedvěd,Prefers work that is routine,1 to 5,35,5
Pavel Nedvěd,"Is outgoing, sociable",1 to 5,36,3
Pavel Nedvěd,Is sometimes rude to others,1 to 5,37,3
Pavel Nedvěd,Makes plans and follows through with them,1 to 5,38,3
Pavel Nedvěd,Gets nervous easily,1 to 5,39,3
Pavel Nedvěd,"Likes to reflect, play with ideas",1 to 5,40,5
Pavel Nedvěd,Has few artistic interests,1 to 5,41,4
Pavel Nedvěd,Likes to cooperate with others,1 to 5,42,3
Pavel Nedvěd,Is easily distracted,1 to 5,43,4
Pavel Nedvěd,"Is sophisticated in art, music, or Literature",1 to 5,44,5
Wladimir Klitschko,Is talkative,1 to 5,1,2
Wladimir Klitschko,Tends to find fault with others,1 to 5,2,5
Wladimir Klitschko,Does a thorough job,1 to 5,3,3
Wladimir Klitschko,"Is depressed, blue",1 to 5,4,5
Wladimir Klitschko,"Is original, comes up with new ideas",1 to 5,5,5
Wladimir Klitschko,Is reserved,1 to 5,6,5
Wladimir Klitschko,Is helpful and unselfish with others,1 to 5,7,4
Wladimir Klitschko,Can be somewhat careless,1 to 5,8,5
Wladimir Klitschko,"Is relaxed, handles stress well",1 to 5,9,5
Wladimir Klitschko,Is curious about many different things,1 to 5,10,5
Wladimir Klitschko,Is full of energy,1 to 5,11,4
Wladimir Klitschko,Starts quarrels with others,1 to 5,12,3
Wladimir Klitschko,Is a reliable worker,1 to 5,13,5
Wladimir Klitschko,Can be tense,1 to 5,14,5
Wladimir Klitschko,"Is ingenious, a deep thinker",1 to 5,15,4
Wladimir Klitschko,Generates a lot of enthusiasm,1 to 5,16,5
Wladimir Klitschko,Has a forgiving nature,1 to 5,17,4
Wladimir Klitschko,Tends to be disorganized,1 to 5,18,2
Wladimir Klitschko,Worries a lot,1 to 5,19,5
Wladimir Klitschko,Has an active imagination,1 to 5,20,4
Wladimir Klitschko,Tends to be quiet,1 to 5,21,1
Wladimir Klitschko,Is generally trusting,1 to 5,22,5
Wladimir Klitschko,Tends to be lazy,1 to 5,23,5
Wladimir Klitschko,"Is emotionally stable, not easily upset",1 to 5,24,5
Wladimir Klitschko,Is inventive,1 to 5,25,1
Wladimir Klitschko,Has an assertive personality,1 to 5,26,5
Wladimir Klitschko,Can be cold and aloof,1 to 5,27,3
Wladimir Klitschko,Perseveres until the task is finished,1 to 5,28,5
Wladimir Klitschko,Can be moody,1 to 5,29,1
Wladimir Klitschko,"Values artistic, aesthetic experiences",1 to 5,30,5
Wladimir Klitschko,"Is sometimes shy, inhibited",1 to 5,31,4
Wladimir Klitschko,Is considerate and kind to almost everyone,1 to 5,32,5
Wladimir Klitschko,Does things efficiently,1 to 5,33,1
Wladimir Klitschko,Remains calm in tense situations,1 to 5,34,5
Wladimir Klitschko,Prefers work that is routine,1 to 5,35,3
Wladimir Klitschko,"Is outgoing, sociable",1 to 5,36,5
Wladimir Klitschko,Is sometimes rude to others,1 to 5,37,5
Wladimir Klitschko,Makes plans and follows through with them,1 to 5,38,5
Wladimir Klitschko,Gets nervous easily,1 to 5,39,5
Wladimir Klitschko,"Likes to reflect, play with ideas",1 to 5,40,2
Wladimir Klitschko,Has few artistic interests,1 to 5,41,4
Wladimir Klitschko,Likes to cooperate with others,1 to 5,42,1
Wladimir Klitschko,Is easily distracted,1 to 5,43,4
Wladimir Klitschko,"Is sophisticated in art, music, or Literature",1 to 5,44,3
Ronda Rousey,Is talkative,1 to 5,1,2
Ronda Rousey,Tends to find fault with others,1 to 5,2,5
Ronda Rousey,Does a thorough job,1 to 5,3,3
Ronda Rousey,"Is depressed, blue",1 to 5,4,5
Ronda Rousey,"Is original, comes up with new ideas",1 to 5,5,5
Ronda Rousey,Is reserved,1 to 5,6,5
Ronda Rousey,Is helpful and unselfish with others,1 to 5,7,5
Ronda Rousey,Can be somewhat careless,1 to 5,8,5
Ronda Rousey,"Is relaxed, handles stress well",1 to 5,9,4
Ronda Rousey,Is curious about many different things,1 to 5,10,5
Ronda Rousey,Is full of energy,1 to 5,11,5
Ronda Rousey,Starts quarrels with others,1 to 5,12,5
Ronda Rousey,Is a reliable worker,1 to 5,13,2
Ronda Rousey,Can be tense,1 to 5,14,1
Ronda Rousey,"Is ingenious, a deep thinker",1 to 5,15,5
Ronda Rousey,Generates a lot of enthusiasm,1 to 5,16,5
Ronda Rousey,Has a forgiving nature,1 to 5,17,3
Ronda Rousey,Tends to be disorganized,1 to 5,18,5
Ronda Rousey,Worries a lot,1 to 5,19,1
Ronda Rousey,Has an active imagination,1 to 5,20,4
Ronda Rousey,Tends to be quiet,1 to 5,21,5
Ronda Rousey,Is generally trusting,1 to 5,22,4
Ronda Rousey,Tends to be lazy,1 to 5,23,4
Ronda Rousey,"Is emotionally stable, not easily upset",1 to 5,24,1
Ronda Rousey,Is inventive,1 to 5,25,3
Ronda Rousey,Has an assertive personality,1 to 5,26,5
Ronda Rousey,Can be cold and aloof,1 to 5,27,5
Ronda Rousey,Perseveres until the task is finished,1 to 5,28,3
Ronda Rousey,Can be moody,1 to 5,29,5
Ronda Rousey,"Values artistic, aesthetic experiences",1 to 5,30,5
Ronda Rousey,"Is sometimes shy, inhibited",1 to 5,31,3
Ronda Rousey,Is considerate and kind to almost everyone,1 to 5,32,5
Ronda Rousey,Does things efficiently,1 to 5,33,5
Ronda Rousey,Remains calm in tense situations,1 to 5,34,5
Ronda Rousey,Prefers work that is routine,1 to 5,35,5
Ronda Rousey,"Is outgoing, sociable",1 to 5,36,5
Ronda Rousey,Is sometimes rude to others,1 to 5,37,4
Ronda Rousey,Makes plans and follows through with them,1 to 5,38,5
Ronda Rousey,Gets nervous easily,1 to 5,39,5
Ronda Rousey,"Likes to reflect, play with ideas",1 to 5,40,5
Ronda Rousey,Has few artistic interests,1 to 5,41,5
Ronda Rousey,Likes to cooperate with others,1 to 5,42,4
Ronda Rousey,Is easily distracted,1 to 5,43,4
Ronda Rousey,"Is sophisticated in art, music, or Literature",1 to 5,44,5
Jackie Joyner-Kersee,Is talkative,1 to 5,1,5
Jackie Joyner-Kersee,Tends to find fault with others,1 to 5,2,1
Jackie Joyner-Kersee,Does a thorough job,1 to 5,3,5
Jackie Joyner-Kersee,"Is depressed, blue",1 to 5,4,1
Jackie Joyner-Kersee,"Is original, comes up with new ideas",1 to 5,5,5
Jackie Joyner-Kersee,Is reserved,1 to 5,6,5
Jackie Joyner-Kersee,Is helpful and unselfish with others,1 to 5,7,5
Jackie Joyner-Kersee,Can be somewhat careless,1 to 5,8,4
Jackie Joyner-Kersee,"Is relaxed, handles stress well",1 to 5,9,4
Jackie Joyner-Kersee,Is curious about many different things,1 to 5,10,1
Jackie Joyner-Kersee,Is full of energy,1 to 5,11,5
Jackie Joyner-Kersee,Starts quarrels with others,1 to 5,12,2
Jackie Joyner-Kersee,Is a reliable worker,1 to 5,13,2
Jackie Joyner-Kersee,Can be tense,1 to 5,14,5
Jackie Joyner-Kersee,"Is ingenious, a deep thinker",1 to 5,15,2
Jackie Joyner-Kersee,Generates a lot of enthusiasm,1 to 5,16,5
Jackie Joyner-Kersee,Has a forgiving nature,1 to 5,17,3
Jackie Joyner-Kersee,Tends to be disorganized,1 to 5,18,5
Jackie Joyner-Kersee,Worries a lot,1 to 5,19,5
Jackie Joyner-Kersee,Has an active imagination,1 to 5,20,5
Jackie Joyner-Kersee,Tends to be quiet,1 to 5,21,5
Jackie Joyner-Kersee,Is generally trusting,1 to 5,22,3
Jackie Joyner-Kersee,Tends to be lazy,1 to 5,23,5
Jackie Joyner-Kersee,"Is emotionally stable, not easily upset",1 to 5,24,5
Jackie Joyner-Kersee,Is inventive,1 to 5,25,3
Jackie Joyner-Kersee,Has an assertive personality,1 to 5,26,5
Jackie Joyner-Kersee,Can be cold and aloof,1 to 5,27,4
Jackie Joyner-Kersee,Perseveres until the task is finished,1 to 5,28,3
Jackie Joyner-Kersee,Can be moody,1 to 5,29,5
Jackie Joyner-Kersee,"Values artistic, aesthetic experiences",1 to 5,30,5
Jackie Joyner-Kersee,"Is sometimes shy, inhibited",1 to 5,31,3
Jackie Joyner-Kersee,Is considerate and kind to almost everyone,1 to 5,32,4
Jackie Joyner-Kersee,Does things efficiently,1 to 5,33,3
Jackie Joyner-Kersee,Remains calm in tense situations,1 to 5,34,4
Jackie Joyner-Kersee,Prefers work that is routine,1 to 5,35,4
Jackie Joyner-Kersee,"Is outgoing, sociable",1 to 5,36,5
Jackie Joyner-Kersee,Is sometimes rude to others,1 to 5,37,5
Jackie Joyner-Kersee,Makes plans and follows through with them,1 to 5,38,4
Jackie Joyner-Kersee,Gets nervous easily,1 to 5,39,4
Jackie Joyner-Kersee,"Likes to reflect, play with ideas",1 to 5,40,5
Jackie Joyner-Kersee,Has few artistic interests,1 to 5,41,3
Jackie Joyner-Kersee,Likes to cooperate with others,1 to 5,42,5
Jackie Joyner-Kersee,Is easily distracted,1 to 5,43,2
Jackie Joyner-Kersee,"Is sophisticated in art, music, or Literature",1 to 5,44,5
Matti Nykänen,Is talkative,1 to 5,1,3
Matti Nykänen,Tends to find fault with others,1 to 5,2,3
Matti Nykänen,Does a thorough job,1 to 5,3,4
Matti Nykänen,"Is depressed, blue",1 to 5,4,1
Matti Nykänen,"Is original, comes up with new ideas",1 to 5,5,4
Matti Nykänen,Is reserved,1 to 5,6,3
Matti Nykänen,Is helpful and unselfish with others,1 to 5,7,3
Matti Nykänen,Can be somewhat careless,1 to 5,8,4
Matti Nykänen,"Is relaxed, handles stress well",1 to 5,9,3
Matti Nykänen,Is curious about many different things,1 to 5,10,4
Matti Nykänen,Is full of energy,1 to 5,11,2
Matti Nykänen,Starts quarrels with others,1 to 5,12,3
Matti Nykänen,Is a reliable worker,1 to 5,13,4
Matti Nykänen,Can be tense,1 to 5,14,5
Matti Nykänen,"Is ingenious, a deep thinker",1 to 5,15,3
Matti Nykänen,Generates a lot of enthusiasm,1 to 5,16,5
Matti Nykänen,Has a forgiving nature,1 to 5,17,5
Matti Nykänen,Tends to be disorganized,1 to 5,18,2
Matti Nykänen,Worries a lot,1 to 5,19,5
Matti Nykänen,Has an active imagination,1 to 5,20,4
Matti Nykänen,Tends to be quiet,1 to 5,21,4
Matti Nykänen,Is generally trusting,1 to 5,22,4
Matti Nykänen,Tends to be lazy,1 to 5,23,2
Matti Nykänen,"Is emotionally stable, not easily upset",1 to 5,24,5
Matti Nykänen,Is inventive,1 to 5,25,5
Matti Nykänen,Has an assertive personality,1 to 5,26,3
Matti Nykänen,Can be cold and aloof,1 to 5,27,5
Matti Nykänen,Perseveres until the task is finished,1 to 5,28,5
Matti Nykänen,Can be moody,1 to 5,29,1
Matti Nykänen,"Values artistic, aesthetic experiences",1 to 5,30,4
Matti Nykänen,"Is sometimes shy, inhibited",1 to 5,31,4
Matti Nykänen,Is considerate and kind to almost everyone,1 to 5,32,3
Matti Nykänen,Does things efficiently,1 to 5,33,3
Matti Nykänen,Remains calm in tense situations,1 to 5,34,4
Matti Nykänen,Prefers work that is routine,1 to 5,35,5
Matti Nykänen,"Is outgoing, sociable",1 to 5,36,4
Matti Nykänen,Is sometimes rude to others,1 to 5,37,2
Matti Nykänen,Makes plans and follows through with them,1 to 5,38,5
Matti Nykänen,Gets nervous easily,1 to 5,39,1
Matti Nykänen,"Likes to reflect, play with ideas",1 to 5,40,3
Matti Nykänen,Has few artistic interests,1 to 5,41,3
Matti Nykänen,Likes to cooperate with others,1 to 5,42,4
Matti Nykänen,Is easily distracted,1 to 5,43,1
Matti Nykänen,"Is sophisticated in art, music, or Literature",1 to 5,44,4
Florence Griffith Joyner,Is talkative,1 to 5,1,4
Florence Griffith Joyner,Tends to find fault with others,1 to 5,2,5
Florence Griffith Joyner,Does a thorough job,1 to 5,3,2
Florence Griffith Joyner,"Is depressed, blue",1 to 5,4,5
Florence Griffith Joyner,"Is original, comes up with new ideas",1 to 5,5,4
Florence Griffith Joyner,Is reserved,1 to 5,6,5
Florence Griffith Joyner,Is helpful and unselfish with others,1 to 5,7,1
Florence Griffith Joyner,Can be somewhat careless,1 to 5,8,5
Florence Griffith Joyner,"Is relaxed, handles stress well",1 to 5,9,3
Florence Griffith Joyner,Is curious about many different things,1 to 5,10,1
Florence Griffith Joyner,Is full of energy,1 to 5,11,1
Florence Griffith Joyner,Starts quarrels with others,1 to 5,12,5
Florence Griffith Joyner,Is a reliable worker,1 to 5,13,3
Florence Griffith Joyner,Can be tense,1 to 5,14,1
Florence Griffith Joyner,"Is ingenious, a deep thinker",1 to 5,15,1
Florence Griffith Joyner,Generates a lot of enthusiasm,1 to 5,16,5
Florence Griffith Joyner,Has a forgiving nature,1 to 5,17,5
Florence Griffith Joyner,Tends to be disorganized,1 to 5,18,5
Florence Griffith Joyner,Worries a lot,1 to 5,19,5
Florence Griffith Joyner,Has an active imagination,1 to 5,20,4
Florence Griffith Joyner,Tends to be quiet,1 to 5,21,5
Florence Griffith Joyner,Is generally trusting,1 to 5,22,3
Florence Griffith Joyner,Tends to be lazy,1 to 5,23,5
Florence Griffith Joyner,"Is emotionally stable, not easily upset",1 to 5,24,3
Florence Griffith Joyner,Is inventive,1 to 5,25,4
Florence Griffith Joyner,Has an assertive personality,1 to 5,26,4
Florence Griffith Joyner,Can be cold and aloof,1 to 5,27,4
Florence Griffith Joyner,Perseveres until the task is finished,1 to 5,28,5
Florence Griffith Joyner,Can be moody,1 to 5,29,3
Florence Griffith Joyner,"Values artistic, aesthetic experiences",1 to 5,30,3
