Name,Question,Inr,Answer
Al Capone,Gets nervous easily,39,2
Al Capone,"Likes to reflect, play with ideas",40,4
Al Capone,Has few artistic interests,41,2
Al Capone,Likes to cooperate with others,42,4
Al Capone,Is easily distracted,43,2
Al Capone,"Is sophisticated in art, music, or Literature",44,4
John Gotti,Is talkative,1,4
John Gotti,Tends to find fault with others,2,2
John Gotti,Does a thorough job,3,5
John Gotti,"Is depressed, blue",4,2
John Gotti,"Is original, comes up with new ideas",5,5
John Gotti,Is reserved,6,2
John Gotti,Is helpful and unselfish with others,7,4
John Gotti,Can be somewhat careless,8,2
John Gotti,"Is relaxed, handles stress well",9,4
John Gotti,Is curious about many different things,10,5
John Gotti,Is full of energy,11,5
John Gotti,Starts quarrels with others,12,2
John Gotti,Is a reliable worker,13,5
John Gotti,Can be tense,14,4
John Gotti,"Is ingenious, a deep thinker",15,4
John Gotti,Generates a lot of enthusiasm,16,5
John Gotti,Has a forgiving nature,17,3
John Gotti,Tends to be disorganized,18,2
John Gotti,Worries a lot,19,2
John Gotti,Has an active imagination,20,4
John Gotti,Tends to be quiet,21,2
John Gotti,Is generally trusting,22,2
John Gotti,Tends to be lazy,23,2
John Gotti,"Is emotionally stable, not easily upset",24,4
John Gotti,Is inventive,25,4
John Gotti,Has an assertive personality,26,5
John Gotti,Can be cold and aloof,27,4
John Gotti,Perseveres until the task is finished,28,5
John Gotti,Can be moody,29,4
John Gotti,"Values artistic, aesthetic experiences",30,4
John Gotti,"Is sometimes shy, inhibited",31,2
John Gotti,Is considerate and kind to almost everyone,32,4
John Gotti,Does things efficiently,33,5
John Gotti,Remains calm in tense situations,34,4
John Gotti,Prefers work that is routine,35,2
John Gotti,"Is outgoing, sociable",36,5
John Gotti,Is sometimes rude to others,37,2
John Gotti,Makes plans and follows through with them,38,5
John Gotti,Gets nervous easily,39,2
John Gotti,"Likes to reflect, play with ideas",40,4
John Gotti,Has few artistic interests,41,2
John Gotti,Likes to cooperate with others,42,3
John Gotti,Is easily distracted,43,2
John Gotti,"Is sophisticated in art, music, or Literature",44,3
Bugsy Siegel,Is talkative,1,5
Bugsy Siegel,Tends to find fault with others,2,2
Bugsy Siegel,Does a thorough job,3,5
Bugsy Siegel,"Is depressed, blue",4,2
Bugsy Siegel,"Is original, comes up with new ideas",5,5
Bugsy Siegel,Is reserved,6,2
Bugsy Siegel,Is helpful and unselfish with others,7,4
Bugsy Siegel,Can be somewhat careless,8,4
Bugsy Siegel,"Is relaxed, handles stress well",9,4
Bugsy Siegel,Is curious about many different things,10,5
Bugsy Siegel,Is full of energy,11,5
Bugsy Siegel,Starts quarrels with others,12,2
Bugsy Siegel,Is a reliable worker,13,5
Bugsy Siegel,Can be tense,14,4
Bugsy Siegel,"Is ingenious, a deep thinker",15,4
Bugsy Siegel,Generates a lot of enthusiasm,16,5
Bugsy Siegel,Has a forgiving nature,17,4
Bugsy Siegel,Tends to be disorganized,18,2
Bugsy Siegel,Worries a lot,19,4
Bugsy Siegel,Has an active imagination,20,5
Bugsy Siegel,Tends to be quiet,21,2
Bugsy Siegel,Is generally trusting,22,2
Bugsy Siegel,Tends to be lazy,23,2
Bugsy Siegel,"Is emotionally stable, not easily upset",24,4
Bugsy Siegel,Is inventive,25,4
Bugsy Siegel,Has an assertive personality,26,4
Bugsy Siegel,Can be cold and aloof,27,3
Bugsy Siegel,Perseveres until the task is finished,28,5
Bugsy Siegel,Can be moody,29,4
Bugsy Siegel,"Values artistic, aesthetic experiences",30,5
Bugsy Siegel,"Is sometimes shy, inhibited",31,2
Bugsy Siegel,Is considerate and kind to almost everyone,32,4
Bugsy Siegel,Does things efficiently,33,4
Bugsy Siegel,Remains calm in tense situations,34,4
Bugsy Siegel,Prefers work that is routine,35,1
Bugsy Siegel,"Is outgoing, sociable",36,5
Bugsy Siegel,Is sometimes rude to others,37,2
Bugsy Siegel,Makes plans and follows through with them,38,4
Bugsy Siegel,Gets nervous easily,39,2
Bugsy Siegel,"Likes to reflect, play with ideas",40,4
Bugsy Siegel,Has few artistic interests,41,2
Bugsy Siegel,Likes to cooperate with others,42,4
Bugsy Siegel,Is easily distracted,43,3
Bugsy Siegel,"Is sophisticated in art, music, or Literature",44,4
Charles Manson,Is talkative,1,4
Charles Manson,Tends to find fault with others,2,4
Charles Manson,Does a thorough job,3,5
Charles Manson,"Is depressed, blue",4,4
Charles Manson,"Is original, comes up with new ideas",5,5
Charles Manson,Is reserved,6,2
Charles Manson,Is helpful and unselfish with others,7,4
Charles Manson,Can be somewhat careless,8,4
Charles Manson,"Is relaxed, handles stress well",9,4
Charles Manson,Is curious about many different things,10,5
Charles Manson,Is full of energy,11,5
Charles Manson,Starts quarrels with others,12,2
Charles Manson,Is a reliable worker,13,4
Charles Manson,Can be tense,14,4
Charles Manson,"Is ingenious, a deep thinker",15,5
Charles Manson,Generates a lot of enthusiasm,16,5
Charles Manson,Has a forgiving nature,17,1
Charles Manson,Tends to be disorganized,18,4
Charles Manson,Worries a lot,19,3
Charles Manson,Has an active imagination,20,5
Charles Manson,Tends to be quiet,21,2
Charles Manson,Is generally trusting,22,2
Charles Manson,Tends to be lazy,23,2
Charles Manson,"Is emotionally stable, not easily upset",24,3
Charles Manson,Is inventive,25,4
Charles Manson,Has an assertive personality,26,5
Charles Manson,Can be cold and aloof,27,4
Charles Manson,Perseveres until the task is finished,28,5
Charles Manson,Can be moody,29,4
Charles Manson,"Values artistic, aesthetic experiences",30,5
Charles Manson,"Is sometimes shy, inhibited",31,2
Charles Manson,Is considerate and kind to almost everyone,32,4
Charles Manson,Does things efficiently,33,4
Charles Manson,Remains calm in tense situations,34,4
Charles Manson,Prefers work that is routine,35,2
Charles Manson,"Is outgoing, sociable",36,5
Charles Manson,Is sometimes rude to others,37,4
Charles Manson,Makes plans and follows through with them,38,4
Charles Manson,Gets nervous easily,39,2
Charles Manson,"Likes to reflect, play with ideas",40,4
Charles Manson,Has few artistic interests,41,2
Charles Manson,Likes to cooperate with others,42,4
Charles Manson,Is easily distracted,43,3
Charles Manson,"Is sophisticated in art, music, or Literature",44,3
Jack the Ripper,Is talkative,1,4
Jack the Ripper,Tends to find fault with others,2,3
Jack the Ripper,Does a thorough job,3,4
Jack the Ripper,"Is depressed, blue",4,4
Jack the Ripper,"Is original, comes up with new ideas",5,5
Jack the Ripper,Is reserved,6,4
Jack the Ripper,Is helpful and unselfish with others,7,1
Jack the Ripper,Can be somewhat careless,8,3
Jack the Ripper,"Is relaxed, handles stress well",9,4
Jack the Ripper,Is curious about many different things,10,4
Jack the Ripper,Is full of energy,11,4
Jack the Ripper,Starts quarrels with others,12,2
Jack the Ripper,Is a reliable worker,13,4
Jack the Ripper,Can be tense,14,4
Jack the Ripper,"Is ingenious, a deep thinker",15,4
Jack the Ripper,Generates a lot of enthusiasm,16,4
Jack the Ripper,Has a forgiving nature,17,4
Jack the Ripper,Tends to be disorganized,18,2
Jack the Ripper,Worries a lot,19,2
Jack the Ripper,Has an active imagination,20,4
Jack the Ripper,Tends to be quiet,21,3
Jack the Ripper,Is generally trusting,22,3
Jack the Ripper,Tends to be lazy,23,2
Jack the Ripper,"Is emotionally stable, not easily upset",24,4
Jack the Ripper,Is inventive,25,4
Jack the Ripper,Has an assertive personality,26,4
Jack the Ripper,Can be cold and aloof,27,4
Jack the Ripper,Perseveres until the task is finished,28,4
Jack the Ripper,Can be moody,29,3
Jack the Ripper,"Values artistic, aesthetic experiences",30,4
Jack the Ripper,"Is sometimes shy, inhibited",31,2
Jack the Ripper,Is considerate and kind to almost everyone,32,4
Jack the Ripper,Does things efficiently,33,4
Jack the Ripper,Remains calm in tense situations,34,4
Jack the Ripper,Prefers work that is routine,35,2
Jack the Ripper,"Is outgoing, sociable",36,4
Jack the Ripper,Is sometimes rude to others,37,3
Jack the Ripper,Makes plans and follows through with them,38,4
Jack the Ripper,Gets nervous easily,39,2
Jack the Ripper,"Likes to reflect, play with ideas",40,4
Jack the Ripper,Has few artistic interests,41,2
Jack the Ripper,Likes to cooperate with others,42,4
Jack the Ripper,Is easily distracted,43,2
Jack the Ripper,"Is sophisticated in art, music, or Literature",44,4
Ted Bundy,Is talkative,1,3
Ted Bundy,Tends to find fault with others,2,2
Ted Bundy,Does a thorough job,3,5
Ted Bundy,"Is depressed, blue",4,2
Ted Bundy,"Is original, comes up with new ideas",5,5
Ted Bundy,Is reserved,6,2
Ted Bundy,Is helpful and unselfish with others,7,1
Ted Bundy,Can be somewhat careless,8,2
Ted Bundy,"Is relaxed, handles stress well",9,4
Ted Bundy,Is curious about many different things,10,5
Ted Bundy,Is full of energy,11,4
Ted Bundy,Starts quarrels with others,12,1
Ted Bundy,Is a reliable worker,13,4
Ted Bundy,Can be tense,14,4
Ted Bundy,"Is ingenious, a deep thinker",15,5
Ted Bundy,Generates a lot of enthusiasm,16,4
Ted Bundy,Has a forgiving nature,17,2
Ted Bundy,Tends to be disorganized,18,2
Ted Bundy,Worries a lot,19,2
Ted Bundy,Has an active imagination,20,4
Ted Bundy,Tends to be quiet,21,2
Ted Bundy,Is generally trusting,22,2
Ted Bundy,Tends to be lazy,23,1
Ted Bundy,"Is emotionally stable, not easily upset",24,4
Ted Bundy,Is inventive,25,4
Ted Bundy,Has an assertive personality,26,5
Ted Bundy,Can be cold and aloof,27,4
Ted Bundy,Perseveres until the task is finished,28,5
Ted Bundy,Can be moody,29,3
Ted Bundy,"Values artistic, aesthetic experiences",30,4
Ted Bundy,"Is sometimes shy, inhibited",31,2
Ted Bundy,Is considerate and kind to almost everyone,32,3
Ted Bundy,Does things efficiently,33,4
Ted Bundy,Remains calm in tense situations,34,4
Ted Bundy,Prefers work that is routine,35,2
Ted Bundy,"Is outgoing, sociable",36,4
Ted Bundy,Is sometimes rude to others,37,3
Ted Bundy,Makes plans and follows through with them,38,4
Ted Bundy,Gets nervous easily,39,2
Ted Bundy,"Likes to reflect, play with ideas",40,4
Ted Bundy,Has few artistic interests,41,2
Ted Bundy,Likes to cooperate with others,42,3
Ted Bundy,Is easily distracted,43,2
Ted Bundy,"Is sophisticated in art, music, or Literature",44,4
Jeffrey Dahmer,Is talkative,1,2
Jeffrey Dahmer,Tends to find fault with others,2,3
Jeffrey Dahmer,Does a thorough job,3,4
Jeffrey Dahmer,"Is depressed, blue",4,3
Jeffrey Dahmer,"Is original, comes up with new ideas",5,4
Jeffrey Dahmer,Is reserved,6,4
Jeffrey Dahmer,Is helpful and unselfish with others,7,2
Jeffrey Dahmer,Can be somewhat careless,8,3
Jeffrey Dahmer,"Is relaxed, handles stress well",9,3
Jeffrey Dahmer,Is curious about many different things,10,4
Jeffrey Dahmer,Is full of energy,11,3
Jeffrey Dahmer,Starts quarrels with others,12,1
Jeffrey Dahmer,Is a reliable worker,13,4
Jeffrey Dahmer,Can be tense,14,4
Jeffrey Dahmer,"Is ingenious, a deep thinker",15,4
Jeffrey Dahmer,Generates a lot of enthusiasm,16,1
Jeffrey Dahmer,Has a forgiving nature,17,3
Jeffrey Dahmer,Tends to be disorganized,18,2
Jeffrey Dahmer,Worries a lot,19,2
Jeffrey Dahmer,Has an active imagination,20,4
Jeffrey Dahmer,Tends to be quiet,21,4
Jeffrey Dahmer,Is generally trusting,22,1
Jeffrey Dahmer,Tends to be lazy,23,2
Jeffrey Dahmer,"Is emotionally stable, not easily upset",24,3
Jeffrey Dahmer,Is inventive,25,4
Jeffrey Dahmer,Has an assertive personality,26,4
Jeffrey Dahmer,Can be cold and aloof,27,4
Jeffrey Dahmer,Perseveres until the task is finished,28,5
Jeffrey Dahmer,Can be moody,29,4
Jeffrey Dahmer,"Values artistic, aesthetic experiences",30,4
Jeffrey Dahmer,"Is sometimes shy, inhibited",31,2
Jeffrey Dahmer,Is considerate and kind to almost everyone,32,1
Jeffrey Dahmer,Does things efficiently,33,4
Jeffrey Dahmer,Remains calm in tense situations,34,4
Jeffrey Dahmer,Prefers work that is routine,35,4
Jeffrey Dahmer,"Is outgoing, sociable",36,1
Jeffrey Dahmer,Is sometimes rude to others,37,3
Jeffrey Dahmer,Makes plans and follows through with them,38,4
Jeffrey Dahmer,Gets nervous easily,39,2
Jeffrey Dahmer,"Likes to reflect, play with ideas",40,4
Jeffrey Dahmer,Has few artistic interests,41,2
Jeffrey Dahmer,Likes to cooperate with others,42,3
Jeffrey Dahmer,Is easily distracted,43,2
Jeffrey Dahmer,"Is sophisticated in art, music, or Literature",44,4
Adolf Hitler,Is talkative,1,3
Adolf Hitler,Tends to find fault with others,2,4
Adolf Hitler,Does a thorough job,3,4
Adolf Hitler,"Is depressed, blue",4,2
Adolf Hitler,"Is original, comes up with new ideas",5,4
Adolf Hitler,Is reserved,6,3
Adolf Hitler,Is helpful and unselfish with others,7,1
Adolf Hitler,Can be somewhat careless,8,2
Adolf Hitler,"Is relaxed, handles stress well",9,3
Adolf Hitler,Is curious about many different things,10,4
Adolf Hitler,Is full of energy,11,4
Adolf Hitler,Starts quarrels with others,12,1
Adolf Hitler,Is a reliable worker,13,4
Adolf Hitler,Can be tense,14,3
Adolf Hitler,"Is ingenious, a deep thinker",15,4
Adolf Hitler,Generates a lot of enthusiasm,16,4
Adolf Hitler,Has a forgiving nature,17,1
Adolf Hitler,Tends to be disorganized,18,1
Adolf Hitler,Worries a lot,19,1
Adolf Hitler,Has an active imagination,20,4
Adolf Hitler,Tends to be quiet,21,2
Adolf Hitler,Is generally trusting,22,2
Adolf Hitler,Tends to be lazy,23,1
Adolf Hitler,"Is emotionally stable, not easily upset",24,4
Adolf Hitler,Is inventive,25,4
Adolf Hitler,Has an assertive personality,26,5
Adolf Hitler,Can be cold and aloof,27,4
Adolf Hitler,Perseveres until the task is finished,28,5
Adolf Hitler,Can be moody,29,3
Adolf Hitler,"Values artistic, aesthetic experiences",30,4
Adolf Hitler,"Is sometimes shy, inhibited",31,2
Adolf Hitler,Is considerate and kind to almost everyone,32,1
Adolf Hitler,Does things efficiently,33,4
Adolf Hitler,Remains calm in tense situations,34,4
Adolf Hitler,Prefers work that is routine,35,2
Adolf Hitler,"Is outgoing, sociable",36,1
Adolf Hitler,Is sometimes rude to others,37,2
Adolf Hitler,Makes plans and follows through with them,38,5
Adolf Hitler,Gets nervous easily,39,2
Adolf Hitler,"Likes to reflect, play with ideas",40,4
Adolf Hitler,Has few artistic interests,41,2
Adolf Hitler,Likes to cooperate with others,42,2
Adolf Hitler,Is easily distracted,43,2
Adolf Hitler,"Is sophisticated in art, music, or Literature",44,4
Joseph Stalin,Is talkative,1,3
Joseph Stalin,Tends to find fault with others,2,4
Joseph Stalin,Does a thorough job,3,5
Joseph Stalin,"Is depressed, blue",4,2
Joseph Stalin,"Is original, comes up with new ideas",5,4
Joseph Stalin,Is reserved,6,3
Joseph Stalin,Is helpful and unselfish with others,7,4
Joseph Stalin,Can be somewhat careless,8,2
Joseph Stalin,"Is relaxed, handles stress well",9,2
Joseph Stalin,Is curious about many different things,10,4
Joseph Stalin,Is full of energy,11,5
Joseph Stalin,Starts quarrels with others,12,2
Joseph Stalin,Is a reliable worker,13,5
Joseph Stalin,Can be tense,14,4
Joseph Stalin,"Is ingenious, a deep thinker",15,4
Joseph Stalin,Generates a lot of enthusiasm,16,4
Joseph Stalin,Has a forgiving nature,17,2
Joseph Stalin,Tends to be disorganized,18,1
Joseph Stalin,Worries a lot,19,2
Joseph Stalin,Has an active imagination,20,4
Joseph Stalin,Tends to be quiet,21,2
Joseph Stalin,Is generally trusting,22,2
Joseph Stalin,Tends to be lazy,23,1
Joseph Stalin,"Is emotionally stable, not easily upset",24,4
Joseph Stalin,Is inventive,25,4
Joseph Stalin,Has an assertive personality,26,5
Joseph Stalin,Can be cold and aloof,27,5
Joseph Stalin,Perseveres until the task is finished,28,5
Joseph Stalin,Can be moody,29,3
Joseph Stalin,"Values artistic, aesthetic experiences",30,3
Joseph Stalin,"Is sometimes shy, inhibited",31,1
Joseph Stalin,Is considerate and kind to almost everyone,32,2
Joseph Stalin,Does things efficiently,33,5
Joseph Stalin,Remains calm in tense situations,34,5
Joseph Stalin,Prefers work that is routine,35,2
Joseph Stalin,"Is outgoing, sociable",36,1
Joseph Stalin,Is sometimes rude to others,37,2
Joseph Stalin,Makes plans and follows through with them,38,5
Joseph Stalin,Gets nervous easily,39,1
Joseph Stalin,"Likes to reflect, play with ideas",40,3
Joseph Stalin,Has few artistic interests,41,2
Joseph Stalin,Likes to cooperate with others,42,3
Joseph Stalin,Is easily distracted,43,2
Joseph Stalin,"Is sophisticated in art, music, or Literature",44,3
Mao Zedong,Is talkative,1,4
Mao Zedong,Tends to find fault with others,2,2
Mao Zedong,Does a thorough job,3,5
Mao Zedong,"Is depressed, blue",4,2
Mao Zedong,"Is original, comes up with new ideas",5,5
Mao Zedong,Is reserved,6,2
Mao Zedong,Is helpful and unselfish with others,7,4
Mao Zedong,Can be somewhat careless,8,2
Mao Zedong,"Is relaxed, handles stress well",9,4
Mao Zedong,Is curious about many different things,10,5
Mao Zedong,Is full of energy,11,5
Mao Zedong,Starts quarrels with others,12,1
Mao Zedong,Is a reliable worker,13,5
Mao Zedong,Can be tense,14,4
Mao Zedong,"Is ingenious, a deep thinker",15,5
Mao Zedong,Generates a lot of enthusiasm,16,5
