Persona,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Griselda Blanco,3.25,3.333,3.222,3.375,3.4
Gudrun Ensslin,3.75,3.444,2.444,2.75,3.8
H. H. Holmes,3.125,2.889,3.0,2.625,3.2
Hagop Hagopian,3.25,2.222,3.444,3.125,2.9
Harold Shipman,3.25,2.889,2.889,3.0,2.9
Henri Désiré Landru,3.5,3.778,2.889,2.625,2.2
Henry Hill,2.625,3.556,2.778,3.25,3.0
Henry Lee Lucas,2.875,3.0,3.556,2.25,3.6
Herbert Mullin,4.0,3.111,3.111,2.125,3.1
Heriberto Lazcano Lazcano,3.625,2.889,3.0,2.625,3.1
Hiroshi Maeue,3.75,2.889,2.778,3.75,2.9
Horst Söhnlein,2.75,3.889,3.222,2.625,3.3
Hosni Mubarak,2.375,3.222,3.444,3.75,2.7
Howard Marks,2.75,2.778,3.0,3.375,3.4
Huang Jinrong,3.625,3.667,3.222,2.75,2.6
Héctor Beltrán Leyva,2.875,3.222,3.111,2.875,3.2
Héctor Luis Palma Salazar Hueco,3.75,3.444,2.667,2.375,4.1
Hélmer Herrera Buitrago,3.0,2.444,3.222,3.875,3.5
Idi Amin,3.375,3.333,3.222,2.25,3.2
Ignacio Coronel Villarreal,3.375,3.111,3.444,3.5,3.0
Ignacy Hryniewiecki,3.25,3.333,2.889,2.125,3.1
Ignazio Lupo,2.75,2.556,2.556,2.875,3.1
Inge Viett,3.125,3.0,2.778,3.25,2.9
Ismael Zambada Garcia,2.75,3.667,2.556,3.25,3.5
Iñaki de Juana Chaos,3.75,2.556,2.667,3.5,3.6
Jack McGurn,3.125,2.444,3.222,2.875,2.8
Jack Unterweger,3.625,3.0,3.111,3.375,3.6
Jack the Ripper,3.0,3.222,3.0,3.125,3.6
Jackie D'Amico,3.0,2.556,3.444,2.75,3.0
Jackie DiNorscio,2.125,3.222,4.0,2.75,3.3
James Burke,2.375,3.111,3.0,3.875,3.9
James Coonan,2.875,2.889,3.333,3.5,3.0
Jane Toppan,2.375,3.111,3.0,2.75,2.5
Javed Iqbal,4.0,2.889,3.0,3.625,3.1
Jean-Claude Duvalier,3.375,3.444,3.0,3.125,3.2
Jeffrey Dahmer,2.75,2.889,2.222,3.25,2.8
Jegor Sozonov,3.375,3.667,2.778,2.625,3.1
Jerome Bettis,3.0,2.778,2.667,3.0,2.8
Jerry Brudos,3.125,2.778,2.444,3.25,3.5
Jesse James Hollywood,3.25,2.667,3.0,2.625,3.7
Jhon Jairo Velásquez,3.25,2.889,2.889,3.75,2.8
Jim Younger,3.5,2.889,2.222,3.0,3.4
Jimmy Chérizier,3.375,2.556,3.778,2.625,3.4
Joaquín Guzmán Loera,2.375,2.556,3.222,3.375,2.8
Joe Adonis,3.25,2.889,3.333,3.0,4.2
Joe Profaci,2.625,3.667,3.667,3.0,2.7
Joel Rifkin,2.375,3.333,2.667,3.125,3.4
John A. Gotti,3.125,3.333,3.667,2.25,2.6
John Bodkin Adams,3.25,3.444,3.0,2.875,3.8
John Christie,3.125,3.667,4.0,2.625,3.1
John Franzese,3.0,3.0,3.444,2.625,2.5
John Gotti,3.75,3.111,2.111,2.125,3.4
John Haigh,2.875,3.667,2.778,2.5,3.3
John Holmes,4.875,3.444,3.778,3.125,2.1
"John Paul, Sr.",2.75,2.667,2.444,1.75,2.7
John Roselli,3.25,2.222,2.444,3.75,2.7
John Scalise,2.25,3.333,2.778,3.125,3.0
John Wayne Gacy,2.875,3.111,3.556,3.625,2.6
Johnny Stompanato,2.75,3.0,3.444,2.875,2.1
Jorge Eduardo Costilla Sánchez,3.25,2.778,3.0,2.5,3.3
Jorge Rafael Videla,2.5,2.889,3.333,3.0,2.8
Joseph Aiuppa,2.125,2.444,3.556,2.75,2.9
Joseph Colombo,4.0,2.444,3.778,3.625,2.7
Joseph James DeAngelo,3.375,3.333,3.667,3.375,3.0
Joseph Kony,2.625,2.889,2.556,3.25,3.5
Joseph Lanza,2.75,3.111,4.0,2.75,3.6
Joseph Paul Franklin,3.375,3.222,2.111,3.125,3.7
Joseph Stalin,3.125,3.667,3.778,2.75,2.9
Joseph Valachi,3.0,2.333,3.444,2.5,3.2
José Macias Villamar,3.125,3.444,3.222,2.75,2.8
José Santacruz Londoños,3.125,3.0,2.556,3.375,3.1
Juan David Ochoa Vásquez,3.25,3.333,3.111,2.75,2.5
Juan García Ábrego,3.0,2.667,2.778,3.5,2.6
Juan Nepomuceno Guerra Cárdenas,3.25,3.556,3.222,2.375,2.6
Juan Orlando Hernández,3.75,3.0,2.889,3.0,3.1
Juan Vallejo Corona,3.75,3.556,3.667,2.875,3.3
Karl Denke,2.75,3.889,3.111,3.125,2.8
Kenichi Yamamoto,3.125,3.444,3.0,2.0,2.9
Kenneth Bianchi,3.125,3.0,3.556,2.375,4.1
Khalid Sheikh Mohammed,2.875,2.111,3.222,2.5,2.2
Khalid al-Mihdhar,3.75,3.778,3.444,3.5,2.8
Khalil al-Wazir,2.5,3.0,2.556,2.25,3.4
Khun Sa,2.625,4.0,3.333,3.0,2.7
Kim Il-sung,3.25,2.889,3.0,2.625,3.8
Kim Jong-il,2.125,2.556,2.444,3.125,3.5
Kiyoshi Takayama,3.0,3.222,2.889,3.625,2.8
Klaas Bruinsma,2.875,1.556,2.556,2.375,2.9
Larry Hoover,2.75,2.444,3.0,2.0,3.8
Leo Sharp,3.0,2.778,4.111,2.25,3.6
Leonarda Cianciulli,3.125,3.222,3.667,2.875,3.1
Lo Hsing Han,3.375,3.667,3.556,2.0,2.2
Louis Buchalter,3.0,2.778,2.889,2.25,2.8
Louis Capone,3.0,3.111,2.889,2.75,2.8
Lucky Luciano,2.5,3.111,3.556,2.25,3.1
Lucy Letby,3.5,2.889,4.0,2.5,3.6
Luigi Lucheni,3.5,3.111,3.556,3.25,3.2
Luis Alfredo Garavito,3.625,3.111,3.0,2.5,3.4
Luis Posada Carriles,2.75,2.778,2.889,3.125,3.0
Luke Helder,3.0,3.556,3.444,3.0,3.9
Machine Gun Kelly,3.5,3.333,3.556,2.875,3.6
Mad Dog Coll,3.125,2.778,3.111,2.875,3.3
Magdalena Kopp,3.25,2.778,3.0,3.375,2.5
Manuel Noriega,3.25,4.111,3.0,2.0,2.6
Manuel Pardiñas,3.625,4.0,3.0,3.25,2.4
Manya Surve,3.625,3.222,3.556,2.75,1.4
Mao Zedong,3.25,2.778,3.0,4.0,2.3
Marcel Francisci,3.125,3.667,2.444,3.0,3.3
Marco Camenisch,3.625,2.778,2.778,2.625,2.8
Margherita Cagol,3.125,3.333,3.667,2.625,3.8
Maria Swanenburg,2.875,2.667,3.667,2.375,3.5
Mario Moretti,3.375,3.111,3.111,3.75,2.8
Marshall Joseph Caifano,3.375,2.778,3.333,2.25,2.7
Marwan al-Shehhi,2.75,3.556,3.667,2.625,2.9
Mary Ann Cotton,3.375,2.556,2.111,3.0,3.0
Masood Azhar,3.0,3.778,2.778,3.125,2.2
Meyer Lansky,3.25,2.556,2.556,3.0,2.8
Michael Nunn,2.125,3.889,3.556,3.125,3.4
Michel Fourniret,3.375,2.889,3.556,2.625,3.0
Michele Greco,3.875,3.0,2.889,2.5,3.0
Miguel Emmanuel Figueroa Pérez,2.75,2.556,3.111,3.125,3.7
Miguel Garikoitz Aspiazu Rubina,2.75,3.0,3.111,2.75,3.3
Miguel Rodríguez Orejuela,3.0,3.333,2.111,3.625,3.2
Miguel Treviño Morales,3.25,2.667,3.778,2.75,3.3
Mikhail Popkov,3.5,3.444,3.0,3.125,3.5
Mobutu Sese Seko,2.875,3.0,3.778,2.625,3.5
Mohamed Atta,3.125,3.222,3.444,2.375,3.2
Mohamed Lahouaiej-Bouhlel,2.75,3.222,3.222,2.75,4.0
Monster of Florence,3.0,2.778,2.444,3.375,3.0
Morris Levy,1.875,3.333,2.778,3.0,2.9
Moses Sithole,2.75,3.556,2.667,3.0,3.6
Mounir el-Motassadeq,3.5,3.667,2.556,3.375,2.8
Muammar Gaddafi,2.875,2.667,3.333,3.25,3.7
Murray Riley,3.5,3.333,2.667,3.0,2.7
Myuran Sukumaran,3.25,2.333,2.333,3.375,2.8
Nancy Spungen,3.125,2.778,2.556,3.25,3.8
Nazario Moreno Rodríguez,3.25,2.778,3.444,3.875,3.2
Nemesio Oseguera Cervantes,3.5,2.556,3.0,3.0,3.1
Nicholas Corozzo,2.5,2.889,3.444,3.5,3.5
Nicky Barnes,3.375,3.444,3.111,2.875,3.6
Nicodemo Scarfo,3.5,1.889,2.333,2.5,3.6
Nicolae Ceaușescu,2.875,3.222,3.222,3.0,3.4
Nigel Farage,2.875,3.333,2.778,3.0,3.2
Nipsey Hussle,3.25,2.556,3.444,3.375,3.5
Noordin Mohammad Top,2.5,3.222,2.889,3.0,2.6
Nur-Pashi Kulayev,2.75,2.667,3.333,2.5,3.3
Olive Yang,3.375,3.889,2.556,2.875,3.2
Omar al-Bashir,3.375,2.778,2.556,2.875,3.1
Osama bin Laden,3.625,2.556,3.0,2.625,2.9
Osiel Cárdenas Guillén,3.25,2.333,3.556,2.25,3.4
Otelo Saraiva de Carvalho,3.25,3.444,3.556,2.375,3.7
Ottis Toole,3.125,2.0,3.0,2.625,3.7
Oury Jalloh,3.625,2.889,3.556,3.375,3.3
Ovidio Guzmán López,3.375,2.556,3.444,2.0,2.9
Owney Madden,3.75,3.222,3.889,3.375,3.2
Pablo Acosta Villarreal,2.625,3.444,2.667,2.5,3.1
Pablo Escobar,3.125,3.222,3.444,2.375,3.5
Park Choon-Geum,2.5,3.556,3.667,4.0,3.1
Paul Carbone,4.125,3.444,3.222,2.75,2.9
Paul Ricca,2.0,2.222,2.778,3.5,3.4
Pedro Avilés Pérez,2.75,2.889,3.222,2.75,3.5
Pedro López,2.625,3.0,2.667,2.125,2.9
Pedro Rodrigues Filho,3.875,3.222,2.778,3.0,2.5
Pellegrino Morano,3.25,3.889,3.0,3.625,2.9
Peter Arshinov,3.75,3.111,3.222,2.375,3.6
Peter Gotti,1.875,2.667,3.333,2.75,3.1
Peter Kürten,2.5,3.667,3.444,3.125,3.3
Peter Milano,3.25,2.111,2.889,3.0,3.5
Pierre François Lacenaire,3.125,2.778,2.667,3.375,3.0
Pierre Loutrel,2.75,2.333,3.111,2.75,2.4
Pol Pot,2.75,3.444,3.667,2.875,3.3
Pretty Boy Floyd,3.5,2.444,3.667,2.875,3.5
Rafael Aguilar Guajardo,3.875,3.222,2.778,2.125,2.8
Rafael Caro Quintero,3.0,3.222,2.444,2.125,3.8
Rafael Trujillo,3.875,2.778,2.556,2.375,2.4
Rajendra Sadashiv Nikalje,4.5,3.111,3.222,2.5,3.2
Ralph Capone,2.375,3.222,2.444,3.125,2.9
Ramzi Yousef,2.875,2.778,3.222,3.125,2.9
Ramzi bin al-Shibh,2.375,2.778,3.444,3.0,2.7
Ramón Arellano Félix,3.25,3.111,3.0,3.375,3.4
Raymond Washington,3.125,3.889,3.111,3.25,3.6
Renato Curcio,3.125,3.111,4.0,3.25,3.3
Renato Vallanzasca,3.125,3.0,3.111,3.25,3.6
Ricardo Londoño,3.0,2.444,2.889,3.375,3.2
Richard Chase,2.625,2.889,2.333,2.125,2.8
Richard G. Gotti,2.875,2.889,3.333,2.5,3.0
Richard Ramirez,2.875,3.778,2.444,2.625,2.8
Richard Reid,3.0,3.111,3.0,2.5,3.0
Richard V. Gotti,3.375,3.444,2.889,2.625,3.3
Robert Berdella,3.875,2.778,2.889,2.875,3.3
Robert Hansen,2.625,2.889,3.889,3.5,2.4
Robert Mugabe,4.375,3.333,3.556,2.25,3.6
Robert Pickton,2.5,2.889,3.111,2.25,3.2
Rodney Alcala,2.875,2.889,3.111,2.25,3.0
Rodolfo Walsh,3.0,2.889,3.444,3.125,3.3
Rosemary West,3.0,3.0,3.556,3.0,3.8
Roy Daugherty,2.875,2.889,3.333,3.125,3.0
Roy DeMeo,3.0,3.222,2.889,3.375,3.8
Russell Bufalino,1.625,2.444,3.222,3.125,3.5
Rédoine Faïd,3.25,2.556,3.222,3.5,2.5
Saddam Hussein,3.625,3.556,1.889,2.125,3.3
Said Buryatsky,2.625,3.778,2.222,3.25,3.0
Sajida Mubarak Atrous al-Rishawi,2.75,3.444,3.111,2.5,2.5
Salah Abdeslam,3.125,3.333,2.889,3.625,4.0
Salvatore D'Aquila,3.5,3.0,3.222,3.0,3.2
Salvatore Montagna,2.625,2.333,2.333,2.875,1.9
Salvatore Riina,2.5,3.0,3.0,3.25,2.8
Sam Giancana,2.25,3.0,3.444,1.875,4.0
Sam Jones,3.25,2.444,2.556,2.625,3.2
Samuel Byck,3.25,2.444,3.778,3.375,2.9
Samuel Little,3.25,3.778,2.889,3.5,3.2
Santo Trafficante,3.125,2.889,4.111,3.125,2.5
"Santo Trafficante, Sr.",3.5,3.667,3.0,2.5,3.9
Satoshi Kirishima,3.75,3.667,2.444,3.25,3.8
Schapelle Corby,2.375,4.222,3.222,2.625,3.4
Sergey Golovkin,3.0,3.556,4.111,3.25,3.1
Sergey Stepnyak-Kravchinsky,4.125,3.222,3.0,2.0,3.2
Serhiy Tkach,2.75,3.0,3.444,3.375,3.5
Servando Gómez Martínez,3.625,4.333,2.0,3.5,2.9
Shoko Asahara,3.125,3.556,3.111,2.625,2.9
Slobodan Milošević,2.875,3.333,2.0,1.875,4.1
Soapy Smith,2.625,3.778,3.0,2.375,3.7
Souhaila Andrawes,3.0,3.111,3.111,2.75,3.2
South Park Mexican,3.125,3.444,2.778,2.125,2.9
"Stanley ""Tookie"" Williamp",3.25,3.778,2.889,4.0,3.2
Stefano Delle Chiaie,4.25,3.333,3.0,3.25,2.7
Stepan Bandera,2.75,3.778,2.778,3.5,3.3
Stepan Khalturin,2.875,2.778,2.778,3.5,3.3
Steve Francis,3.625,1.778,3.111,2.75,3.5
Suharto,3.625,3.556,2.778,2.875,3.0
Sun Xiaoguo,2.75,3.444,3.0,2.625,2.9
Susan Atkins,3.5,3.0,3.778,2.75,2.8
Tadamasa Goto,3.0,2.778,3.333,3.375,2.6
Tamerlan Tsarnaev,2.5,3.444,2.444,2.75,3.1
Ted Bundy,3.375,2.667,2.444,2.75,3.2
Ted Kaczynski,3.5,2.333,3.222,3.0,2.7
Terry Nichols,3.625,4.111,2.333,3.125,3.9
The Axeman of New Orleans,3.25,2.556,3.778,3.375,3.5
Thenmozhi Rajaratnam,3.75,3.111,2.889,3.25,2.6
Thomas DeSimone,3.5,3.444,3.667,2.5,3.1
Thomas Eboli,2.625,4.0,2.667,2.875,3.9
Thomas Neill Cream,2.875,3.111,3.333,2.625,3.0
Thug Behram,3.625,3.222,2.778,3.25,3.9
Timothy McVeigh,3.25,3.778,3.667,2.625,3.0
Tommaso Buscetta,2.75,3.0,3.111,2.25,3.3
Tsutomu Miyazaki,3.875,2.889,2.889,2.75,2.7
Txutxi,3.125,3.333,3.111,3.375,2.9
Umar Farouk Abdulmutallab,2.625,3.222,3.111,2.5,3.3
Urke Nachalnik,3.0,2.667,1.889,3.375,4.1
Valerio Fioravanti,3.125,2.778,2.444,3.25,3.1
Van Tuong Nguyen,3.375,3.222,3.222,2.125,3.0
Velma Barfield,3.0,2.889,4.333,3.0,3.6
Velupillai Prabhakaran,3.5,3.111,3.222,3.0,3.9
Victor Amuso,3.125,3.0,2.556,2.25,3.6
Vikas Dubey,3.25,2.889,3.333,3.25,3.5
Vito Cascioferro,3.125,3.222,2.111,2.625,2.3
Vito Genovese,3.625,3.556,3.667,2.125,2.6
Vito Rizzuto,2.5,3.444,2.778,3.0,3.5
Vladimir Arutyunian,3.75,2.222,2.667,3.0,3.3
Vlado Taneski,2.875,3.333,3.444,2.375,3.0
Víctor Polay,2.875,3.556,3.444,3.25,3.1
Wail al-Shehri,3.125,3.778,2.778,2.875,3.1
Waleed al-Shehri,3.0,3.111,2.556,2.875,2.8
Wayne Williams,2.5,2.444,3.556,2.875,3.1
Whitey Bulger,2.25,2.778,2.889,2.375,3.0
Wilfried Böse,3.5,3.333,3.556,3.125,2.2
William Bedford,3.5,3.0,2.667,3.25,3.1
William Bentvena,3.125,3.0,2.556,3.5,2.7
William Bonin,3.75,3.333,3.556,2.875,2.3
William Leonard Pickard,3.375,2.778,2.556,3.375,3.0
William Palmer,3.0,3.111,2.778,2.625,2.8
William T. Anderson,3.25,2.556,3.111,4.0,3.6
Willie Moretti,3.25,3.444,2.889,3.125,3.0
Yahya Sinwar,3.0,3.556,3.0,2.0,3.8
Yakov Blumkin,2.375,3.111,3.667,3.0,3.1
Yang Xinhai,4.0,2.778,3.444,2.625,3.2
Yasin Malik,2.25,3.222,3.333,3.5,3.2
Yevno Azef,2.875,3.0,3.0,2.375,3.2
Yoo Young-chul,3.0,3.667,2.444,3.0,2.3
Yoshio Kodama,3.5,2.556,3.444,2.875,3.1
Zodiac Killer,2.125,3.667,2.889,3.0,3.7
Ángel Maturino Reséndiz,2.875,3.333,3.333,3.0,3.1
