Name,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Ingmar Bergman,3.0,2.778,3.333,4.0,2.6
Ingrid Bergman,2.875,3.778,3.667,1.625,3.6
Ivan Hlinka,1.875,3.556,2.444,2.625,4.0
Ivan Poddubny,2.375,2.444,2.556,2.25,3.4
Ivar Giaever,2.75,3.111,3.556,3.375,3.0
J. K. Rowling,3.0,3.444,3.556,2.625,4.1
J. P. Morgan,3.625,3.667,3.111,2.625,2.3
J. R. R. Tolkien,4.0,3.222,2.556,2.375,2.5
Jack Ma,3.25,2.222,2.778,4.0,2.9
Jack Nicholson,2.25,2.889,3.333,2.0,2.2
Jackie Chan,2.0,2.556,2.667,2.375,2.4
Jackie Joyner-Kersee,3.5,3.556,3.778,2.0,3.9
Jacob Burckhardt,3.625,2.222,2.667,2.375,2.7
James Joyce,3.5,2.778,3.222,3.5,3.8
James Lovelock,2.5,3.889,2.889,2.375,3.1
James Watt,2.625,2.333,2.444,2.625,2.8
Jan Jindra,3.875,2.444,3.222,3.875,2.9
Janusz Korczak,3.875,2.778,3.444,3.0,2.8
Jarmila Kratochvílová,2.25,1.778,3.333,2.75,2.7
Jaroslav Hašek,2.75,2.333,3.111,3.625,3.3
Jaroslav Heyrovský,3.875,2.556,3.333,3.25,3.0
Jaroslav Holík,3.5,3.778,2.0,3.25,3.1
Jaroslav Šilhavý,2.625,3.222,2.667,2.875,3.0
Jason Statham,3.375,3.889,2.778,2.25,3.4
Jay-Z,4.0,3.444,4.0,2.125,3.3
Jean Cocteau,3.5,3.0,2.444,2.25,4.1
Jean Renoir,3.75,2.778,3.111,3.5,2.4
Jean-Baptiste Biot,3.0,3.0,2.778,3.25,3.0
Jean-Baptiste Charcot,2.875,3.667,2.222,1.875,2.4
Jeff Bezos,3.5,3.444,3.0,3.25,2.6
Jefferson Pérez,3.5,3.889,3.111,3.0,2.4
Jennie,2.75,2.0,3.444,2.5,2.8
Jennifer Aniston,2.125,4.111,3.667,2.5,1.9
Jennifer Lawrence,1.875,2.444,4.111,4.125,3.1
Jennifer Lopez,3.5,2.778,3.222,3.75,3.6
Jet Li,2.375,2.222,3.556,1.625,2.4
Jill Biden,3.125,3.333,3.111,2.0,3.2
Jim Carrey,3.125,2.778,3.556,2.875,2.3
Jim Morrison,2.5,3.0,3.556,3.125,2.9
Jimmy Fallon,2.25,3.111,3.222,2.0,3.9
Jimmy Wales,3.875,2.889,3.889,3.125,3.4
Jiří Holík,3.25,2.111,2.778,3.5,3.0
Joe Biden,3.125,2.111,3.222,2.25,3.3
Johann Heinrich Lambert,3.25,1.889,4.333,3.125,2.9
John Cena,3.375,3.0,2.889,3.0,3.0
John D. Rockefeller,2.875,2.556,3.222,4.375,2.5
John F. Kennedy,4.5,3.333,3.222,3.0,3.8
John Howard Northrop,3.0,3.111,3.667,3.75,2.9
John Lennon,1.625,2.222,1.889,2.75,3.0
John Logie Baird,3.25,2.333,2.667,2.625,2.8
John Maynard Keynes,3.5,2.889,3.333,3.625,3.5
John McCain,3.0,3.0,4.0,1.75,2.2
John O'Keefe,3.0,3.778,2.889,3.5,3.1
John Updike,3.0,3.333,3.444,2.125,3.3
John von Neumann,3.875,3.667,2.778,3.5,3.5
Johnny Depp,3.25,3.222,3.444,2.625,2.9
Joko Widodo,3.5,2.889,3.111,3.5,3.5
Joris-Karl Huysmans,2.875,3.333,2.889,1.875,4.5
Joseph Rantz,2.375,1.778,2.889,3.0,2.3
Jozef Adamec,4.0,2.0,2.778,3.75,2.1
Juan Manuel Fangio,2.625,3.778,2.667,3.0,2.7
Judy Garland,2.625,3.0,3.333,3.0,2.3
Julia Roberts,3.375,2.778,2.889,3.375,3.3
Juliette Binoche,2.5,2.444,3.222,2.25,2.9
Julius Axelrod,2.625,3.556,2.667,4.0,2.4
Justin Bieber,3.375,2.889,3.667,3.375,3.5
Justin Timberlake,2.75,2.667,2.667,3.0,2.0
Kamala Harris,3.5,3.778,1.667,2.125,3.0
Kanye West,3.0,3.444,3.444,3.125,2.6
Kareem Abdul-Jabbar,2.25,3.667,2.667,2.125,2.6
Karel Rada,2.625,3.222,2.889,2.875,2.7
Kate Winslet,2.625,3.556,3.889,3.25,2.6
Katerina Tikhonova,2.75,2.778,3.556,3.25,2.7
Kateřina Emmons,2.125,2.444,2.889,2.0,1.9
Katharine Hepburn,2.5,3.0,3.111,3.125,3.5
Kathryn D. Sullivan,4.375,2.778,2.0,3.75,3.1
Katy Perry,1.625,2.778,3.222,2.75,3.2
Kazuo Ishiguro,2.75,3.0,2.222,2.25,2.2
Keanu Reeves,3.125,1.667,2.889,3.0,2.9
Kendall Jenner,2.875,3.111,2.667,3.125,3.7
Kenny Rogers,2.875,2.444,3.333,2.5,3.1
Kevin Hart,3.25,3.333,2.556,2.75,3.3
Kevin Peter Hall,3.875,2.333,2.222,3.0,3.1
Khloé Kardashian,2.0,2.778,3.111,2.875,2.1
Kianoush Rostami,3.25,3.889,4.444,2.875,3.1
Kim Kardashian,3.5,2.889,2.222,2.25,3.1
Kirk Douglas,2.875,3.222,3.667,3.875,2.7
Kobe Bryant,2.875,3.222,2.889,3.375,2.0
Konstantin Stanislavski,2.5,2.889,3.0,3.5,3.2
Konstantin Tsiolkovskii,3.125,3.778,3.0,3.0,3.2
Kourtney Kardashian,2.5,2.444,1.333,3.25,3.1
Kristen Stewart,1.75,2.778,3.333,3.875,2.6
Krzysztof Kieślowski,4.5,2.444,3.444,3.125,3.7
Kurt Gödel,2.5,3.444,2.222,3.375,3.7
Kylian Mbappé,3.125,2.667,3.333,3.375,2.8
Kylie Jenner,4.0,3.333,2.667,2.375,2.4
Kylie Minogue,3.125,2.889,3.0,3.125,3.1
Lady Gaga,2.0,3.556,3.0,2.5,2.9
Lali Espósito,2.625,3.444,3.333,2.875,2.3
Larry Ellison,3.5,2.556,3.111,3.625,3.5
Larry Page,3.25,3.111,3.444,2.0,3.2
Lazare Carnot,2.375,2.333,2.889,2.875,2.4
LeBron James,3.375,2.556,2.889,2.5,1.9
Leonard Cohen,3.625,3.333,3.778,3.5,3.6
Leonardo DiCaprio,2.75,3.111,2.111,2.375,2.3
Leonhard Euler,2.875,4.0,2.889,2.5,3.7
Leó Szilárd,2.375,3.222,3.111,2.5,3.8
Lil Wayne,2.75,3.111,3.222,3.5,3.2
Lionel Messi,3.375,2.889,2.111,2.625,2.3
Lisa,3.25,2.444,2.333,2.375,4.0
Louis Armstrong,3.625,2.667,2.667,3.5,3.4
Luchino Visconti,2.375,2.444,2.556,2.75,2.5
Madonna,1.875,3.0,3.778,2.5,3.4
Magdalena Aicega,4.125,3.667,3.667,2.0,3.5
Magdalena Neuner,2.375,2.556,4.333,2.75,2.7
Magic Johnson,3.75,2.778,2.889,3.75,3.5
Magnús Scheving,3.375,3.778,4.556,2.25,3.7
Mahatma Gandhi,3.25,3.556,3.222,3.25,2.4
Malcolm Turnbull,2.125,4.0,2.556,2.5,2.5
Manny Pacquiao,2.625,3.778,4.0,3.625,3.1
Margaret Thatcher,2.625,3.444,2.889,2.875,3.5
Maria Goeppert Mayer,4.125,2.667,3.111,3.25,3.6
Mariah Carey,4.125,2.222,3.222,3.25,2.3
Marileidy Paulino,1.875,3.556,4.111,2.0,3.3
Marilyn Monroe,3.375,3.556,3.111,2.25,2.0
Mark Wahlberg,3.0,3.111,2.889,1.625,3.2
Mark Zuckerberg,3.125,2.778,3.556,2.375,2.9
Marlee Matlin,3.25,4.222,3.222,3.0,4.2
Marlene Dietrich,2.125,2.889,3.333,2.75,2.9
Martin Heinrich Klaproth,4.0,3.0,2.778,2.5,2.8
Martin Jakš,3.25,2.667,3.889,3.125,3.8
Martin Karplus,3.375,3.222,2.667,2.875,3.9
Mary Somerville,3.25,3.444,3.0,2.75,3.6
María Julia Mantilla,2.75,3.111,3.111,3.125,2.4
Matt Groening,2.875,2.889,2.556,3.375,3.2
Matti Nykänen,3.25,2.667,3.667,2.125,3.7
Matúš Kozáčik,2.875,3.556,3.556,3.625,2.9
Max Born,3.25,3.778,3.222,2.625,2.9
Megan Fox,3.0,2.556,3.556,2.625,2.7
Meghan Markle,3.0,2.778,2.778,3.0,2.7
"Meghan, Duchess of Sussex",3.375,3.667,2.556,3.0,2.6
Melinda Gates,3.125,2.667,3.889,2.375,2.3
Meryl Streep,2.25,2.444,3.0,3.25,3.1
Michael Cherry,3.25,4.444,2.444,3.0,2.9
Michael Collins,3.875,3.0,3.667,3.375,2.5
Michael Jackson,3.0,2.444,3.333,2.25,2.1
Michael Jordan,3.5,3.444,3.222,3.375,2.1
Michael Oher,3.5,3.778,4.111,2.375,4.0
Michael Phelps,3.75,3.222,3.0,2.0,3.7
Michael Spence,2.875,4.111,3.333,3.125,3.0
Michal Bílek,1.75,3.222,4.0,3.0,2.4
Mike Tyson,4.0,2.667,3.111,2.875,2.4
Mikhail Bulgakov,2.875,2.889,4.0,2.625,2.8
Mikhail Khodorkovsky,2.5,3.667,4.333,3.25,3.3
Mikhail Lomonosov,3.375,3.556,2.778,2.5,2.7
Mila Kunis,1.875,3.222,2.222,3.25,2.5
Miley Cyrus,3.5,2.222,3.0,1.5,1.4
Morgan Freeman,3.0,3.778,2.444,4.25,2.8
Muhammad Ali,2.5,3.889,3.889,2.5,2.3
Mukesh Ambani,3.375,3.556,2.667,2.625,3.0
Narendra Modi,4.0,3.667,2.778,3.625,3.0
Natalie Portman,2.5,3.444,3.667,3.5,2.4
Nawaz Sharif,3.0,2.222,2.0,2.25,3.3
Neymar,2.125,3.778,3.444,2.25,1.9
Niall Horan,3.625,3.111,3.444,2.0,2.6
Nicki Minaj,3.375,3.111,3.111,2.5,3.3
Nicole Kidman,2.625,3.111,4.0,2.0,3.7
Niels Ryberg Finsen,2.25,3.556,3.444,2.75,2.7
Niki Lauda,2.625,2.778,3.556,3.125,2.9
Nikolai Pirogov,3.625,3.222,2.0,2.75,3.0
Nina Dobrev,2.875,2.111,3.778,2.75,2.4
Novak Djokovic,3.25,3.889,3.556,2.625,2.7
O. J. Simpson,2.5,3.222,3.333,4.25,2.7
Oldřich Machač,3.0,2.222,2.556,3.375,2.2
Oleg Taktarov,2.75,2.889,3.222,3.25,1.6
Olga Fikotová,2.25,3.556,3.556,1.625,2.3
Olympe de Gouges,3.125,3.556,2.333,2.25,1.0
Oprah Winfrey,4.125,3.333,2.889,3.875,3.4
Oscar Wilde,2.75,2.889,3.0,3.375,2.5
Osip Mandelstam,3.375,1.889,2.889,3.0,2.6
Oskar Schindler,1.25,3.556,3.889,2.5,3.2
Oszkár Gerde,3.125,2.778,2.333,1.875,2.8
Parviz Nasibov,3.625,2.556,4.0,2.5,4.0
Paul Allen,3.75,3.556,3.0,2.75,3.5
Paul Dirac,3.375,3.333,4.222,2.25,3.8
Paul McCartney,3.25,3.778,3.889,1.75,4.1
Paul Newman,3.875,3.889,3.111,3.25,2.6
Paulo Coelho,3.75,3.222,2.889,2.625,3.5
Pavel Horváth,2.75,3.111,3.0,2.875,2.8
Pavel Nedvěd,2.875,2.0,3.667,3.0,2.7
Pelé,2.0,4.333,2.889,2.625,2.7
Peter Debye,3.125,2.222,2.444,2.25,3.8
Peter O'Toole,3.875,2.889,3.333,2.0,1.8
Petr Čech,3.875,3.111,2.778,3.0,1.7
Petro Poroshenko,3.0,3.778,3.111,2.0,3.2
Peyton Manning,1.75,2.889,2.444,2.75,3.3
Philip Reeve,2.5,2.889,3.333,2.5,3.0
Pierre de Marivaux,2.125,4.111,3.222,3.5,3.2
Pierre-Louis Moreau de Maupertuis,1.875,2.889,3.333,3.125,2.0
Pierre-Simon Laplace,3.25,3.111,3.556,3.25,4.1
Prince,3.75,2.778,4.222,3.0,2.8
"Prince Philip, Duke of Edinburgh",2.875,3.111,3.333,3.375,3.3
"Princess Margaret, Countess of Snowdon",3.0,4.444,2.889,3.125,3.6
Priyanka Chopra,2.75,2.444,2.778,2.75,2.5
Queen Victoria,2.125,2.778,2.889,1.625,4.2
Quentin Tarantino,4.25,3.0,2.667,2.5,2.7
Rabindranath Tagore,4.125,2.111,4.222,2.375,3.0
Rachel Carson,3.0,2.889,3.667,3.375,3.4
Rafael Nadal,2.875,3.667,3.556,2.625,2.8
Raymond Kurzweil,3.25,4.222,3.667,3.625,3.1
Reinhard Genzel,2.25,2.778,2.556,2.0,2.7
Richard Branson,3.125,2.667,2.444,2.5,3.6
Richard Dawkins,3.5,3.222,2.556,2.625,3.4
Richard Feynman,2.625,2.889,3.333,4.0,3.9
Richard Smalley,3.0,2.778,3.444,2.25,3.7
Rihanna,3.125,2.778,3.556,2.5,2.9
Rita Levi-Montalcini,3.75,3.333,3.556,2.5,2.4
Rob Schneider,2.625,3.111,3.444,3.25,3.1
Robert De Niro,4.0,1.889,3.333,2.5,3.4
Robert Fulton,3.375,3.333,3.556,2.875,3.0
Robert Hübner,3.125,3.0,2.667,2.75,2.8
Robert Lang,2.5,3.0,3.333,2.625,3.2
Robert Owen,4.25,2.889,3.444,1.75,4.2
Robin Williams,2.875,2.889,2.333,2.375,4.0
Roger Bannister,2.125,3.222,3.444,3.75,3.5
Roger Federer,2.375,3.556,3.667,2.875,2.8
Roman Kreuziger,3.0,3.778,3.778,3.0,2.5
Ronald Reagan,3.0,2.778,2.889,3.0,2.4
Ronaldinho,2.625,2.667,3.778,2.0,3.5
Ronaldo,3.125,3.111,3.667,2.125,3.5
Ronda Rousey,3.125,3.0,3.333,2.375,3.3
Rory Stewart,2.5,2.778,2.778,2.625,3.2
Rudolf Diesel,3.375,2.778,3.444,3.375,2.9
Rupert Murdoch,2.75,3.0,3.333,2.25,3.2
Russell Crowe,2.875,3.0,2.778,2.25,3.1
Ryan Reynolds,1.875,3.222,3.444,2.875,2.3
Sacha Guitry,3.25,3.222,3.778,2.375,2.5
Sachin Tendulkar,3.875,3.444,2.222,3.875,3.1
Salman Khan,4.0,2.778,2.444,1.875,3.4
Salman Rushdie,2.0,3.778,2.778,2.875,3.5
Salvador Dalí,3.75,2.778,3.0,3.5,3.2
Sandra Bullock,3.375,2.444,3.0,2.875,3.1
Sarah Bernhardt,2.75,3.0,3.0,3.125,3.5
Saul Bellow,4.125,2.556,3.222,1.75,3.3
Scarlett Johansson,2.125,3.556,3.444,2.625,3.2
Seamus Heaney,2.625,3.222,3.111,3.125,3.2
Sean Connery,3.5,2.333,2.889,3.0,3.2
Sebastián Piñera,3.75,2.778,3.0,2.75,3.7
Selena,2.375,2.444,3.0,2.125,2.9
Selena Gomez,2.5,3.0,3.222,2.25,2.4
Selma Lagerlöf,2.75,2.889,2.111,2.375,3.0
Serena Williams,3.125,3.333,2.333,3.875,2.7
Serge Haroche,2.75,3.222,2.667,2.625,3.6
Sergei Korolev,2.875,2.111,4.0,3.875,2.5
Shah Rukh Khan,3.375,2.778,2.889,2.75,4.0
Shakira,3.375,2.333,2.889,2.75,2.6
Shaquille O'Neal,2.875,3.556,4.111,2.875,3.1
Sheldon Glashow,4.125,3.667,2.0,2.625,3.4
Shraddha Kapoor,3.0,3.444,3.0,2.5,2.0
Sidney Poitier,2.25,3.0,2.778,4.0,2.4
Sigourney Weaver,2.0,2.889,3.222,3.25,3.9
Silvio Berlusconi,1.5,2.889,4.0,3.25,2.6
Simone Veil,2.625,2.222,2.556,3.5,2.4
Simone de Beauvoir,4.125,3.111,2.889,2.25,2.5
Snoop Dogg,4.0,2.444,4.0,3.375,2.4
Sofia Rotaru,2.625,3.333,2.556,2.5,2.8
Sophia Loren,3.5,3.333,2.111,1.875,2.4
Stan Mikita,3.125,3.444,2.667,3.5,3.0
Stephen Curry,2.75,3.111,2.778,3.875,3.1
Stephen King,2.25,4.333,4.222,2.5,2.9
Stephenie Meyer,3.5,4.111,3.778,2.625,3.2
Steve Jobs,2.125,2.333,3.889,2.125,3.3
Steven Seagal,3.25,3.0,2.889,2.375,2.8
Steven Spielberg,2.0,3.333,2.444,2.125,3.4
